Template Name,Template File,Template Type,Blank Fields (Total),Blank button_aria_label,Blank button_aria_label_1,Blank button_aria_label_2,Status,Assigned To,Notes
Collection: All Purpose,collection.all-purpose-collection.json,Collection,2,0,1,1,Not Started,,
Collection: Bundle,collection.bundle-collection.json,Collection,2,0,1,1,Not Started,,
Collection: Casual & Dress,collection.casual-dress-collection.json,Collection,2,0,1,1,Not Started,,
Collection: Cleat Sports,collection.cleat-sports-collection.json,Collection,6,4,1,1,Not Started,,
Collection: Court Sports,collection.court-sports-collection.json,Collection,6,4,1,1,Not Started,,
Collection: Fit Train,collection.fit-train-collection.json,Collection,6,4,1,1,Not Started,,
Collection: Golf,collection.golf-collection.json,Collection,5,3,1,1,Not Started,,
Collection: Hiking,collection.hiking-collection.json,Collection,5,3,1,1,Not Started,,
Collection: Hockey Skates,collection.hockey-skates-collection.json,Collection,7,5,1,1,Not Started,,
Collection: Default,collection.json,Collection,4,2,1,1,Not Started,,
Collection: Pain Relief,collection.pain-relief-collection.json,Collection,2,0,1,1,Not Started,,
Collection: Racquet Sports,collection.racquet-sports-collection.json,Collection,5,3,1,1,Not Started,,
Collection: Ski & Snowboard,collection.ski-snowboard-collection.json,Collection,6,4,1,1,Not Started,,
Collection: Walking,collection.walking-collection.json,Collection,5,3,1,1,Not Started,,
Collection: Work,collection.work-collection.json,Collection,2,0,1,1,Not Started,,
Homepage: Sport Ultralight,index.ea-vpo1ey.json,Index,6,3,1,2,Not Started,,
Page: B2B Personalized Fit,page.b2b-personalized-fit.json,Page,11,9,1,1,Not Started,,
Page: Case Study,page.case-study.json,Page,1,1,0,0,Not Started,,
Page: Comfort Science,page.comfort-science.json,Page,6,2,2,2,Not Started,,
Page: Pain Relief,page.pain-relief.json,Page,9,7,1,1,Not Started,,
Page: QR Pages,page.qr-pages.json,Page,6,2,2,2,Not Started,,
Page: QR Work,page.qr-work.json,Page,6,2,2,2,Not Started,,
Page: RX OTC Orthotics,page.rx-otc-orthotics.json,Page,5,3,1,1,Not Started,,
Page: RX Supporting,page.rx-supporting.json,Page,5,3,1,1,Not Started,,
Page: Why Superfeet,page.why-superfeet.json,Page,9,5,2,2,Not Started,,
Product: Casual Pain Relief,product.casual-pain-relief.json,Product,1,1,0,0,Not Started,,Future in quarters
Product: Fixed Bundle,product.fixed-bundle.json,Product,1,1,0,0,Not Started,,
Product: Default,product.json,Product,3,1,1,1,Not Started,,
Product: Run Pain Relief,product.run-pain-relief.json,Product,1,1,0,0,Not Started,,
Product: Subscription,product.subscription.json,Product,2,0,1,1,Not Started,,
Product: Work Cushion,product.work-cushion.json,Product,1,1,0,0,Not Started,,
Search Results,search.json,Search,1,1,0,0,Not Started,,
