"Page path","Percent of page loads","Page loads","CLS P75","CLS distribution"
"/",0.241,17710,0.01,"[7498,7398,47,53]"
"/pages/insole-finder",0.103,7526,0.89,"[2517,982,39,1496]"
"/collections/all-insoles",0.038,2765,0.04,"[1411,1248,88,75]"
"/products/run-pacer-elite",0.037,2699,0.02,"[1012,1000,5,7]"
"/products/all-purpose-support-high-arch",0.036,2611,0.02,"[970,953,6,11]"
"/collections/running",0.032,2360,0.02,"[1195,1107,50,38]"
"/collections/pain-relief",0.03,2205,0.01,"[881,846,27,8]"
"/collections/work",0.027,2003,0.02,"[808,724,37,47]"
"/collections/best-sellers",0.018,1326,0.03,"[460,433,15,12]"
"/products/all-purpose-high-impact-support",0.017,1233,0.02,"[438,431,2,5]"
"/products/work-cushion",0.017,1216,0.02,"[373,366,4,3]"
"/search",0.017,1255,0.02,"[647,627,14,6]"
"/cart",0.017,1263,0.01,"[461,431,19,11]"
"/collections/hiking",0.016,1203,0.02,"[542,525,17,0]"
"/products/sport-ultralight",0.015,1078,0.02,"[409,406,2,1]"
"/products/casual-pain-relief",0.014,1056,0.02,"[360,355,1,4]"
"/products/all-purpose-support-medium-arch",0.014,1011,0.02,"[330,324,1,5]"
"/collections/all-purpose",0.013,985,0.03,"[516,440,49,27]"
"/collections/walking",0.013,919,0.03,"[409,363,20,26]"
"/collections/all",0.013,955,0.05,"[433,402,19,12]"
"/products/run-pain-relief",0.012,867,0.02,"[293,287,3,3]"
"/products/all-purpose-support-low-arch",0.012,897,0.02,"[341,338,1,2]"
"/products/all-purpose-cushion",0.012,846,0.02,"[315,308,1,6]"
"/products/all-purpose-womens-high-impact-support",0.011,819,0.02,"[253,249,2,2]"
"/products/hike-support",0.009,689,0.02,"[256,252,2,2]"
"/products/all-purpose-memory-foam-support",0.007,502,0.02,"[206,201,4,1]"
"/products/run-cushion-high-arch",0.007,530,0.02,"[181,179,1,1]"
"/pages/personalized-fit",0.007,487,0.01,"[292,286,5,1]"
"/pages/store-locator",0.007,524,0.01,"[197,196,1,0]"
"/collections/bundles",0.007,486,0,"[195,175,5,15]"
"/products/hike-cushion",0.007,547,0.02,"[190,189,0,1]"
"/products/run-support-high-arch-new",0.006,409,0.02,"[149,148,0,1]"
"/products/run-cushion-medium-arch",0.006,435,0.02,"[174,172,1,1]"
"/products/all-purpose-wide-fit-support",0.006,405,0.02,"[149,146,2,1]"
"/products/run-support-low-arch-new",0.006,466,0.01,"[181,178,0,3]"
"/collections/dress",0.006,444,0.01,"[190,184,5,1]"
"/products/casual-womens-easyfit-r",0.005,335,0.02,"[128,126,2,0]"
"/products/run-cushion-low-arch",0.005,380,0.01,"[131,130,0,1]"
"/pages/qr-insoles-guide",0.005,386,0,"[113,111,1,1]"
"/products/run-womens-support",0.004,319,0.02,"[93,93,0,0]"
"/products/work-slim-fit-cushion",0.004,294,0.02,"[93,91,0,2]"
"/products/casual-mens-easyfit-r",0.004,320,0.02,"[115,115,0,0]"
