"Day","Sale ID","Order name","Product title at time of sale","Gross sales","Line item discounts","Order-level discounts","Discounts","Returns","Net sales"
"2025-10-01",45443438379375,"#1-100290","Hike Support",59.99,0,-5.99,-5.99,0,54
"2025-10-01",45443195208047,"#1-100278","Hike Support",59.99,0,-5.99,-5.99,0,54
"2025-10-01",45444632936815,"#1-100365","Run Support High Arch",59.99,0,-5.99,-5.99,0,54
"2025-10-01",45442525397359,"#1-100251","All-Purpose High Impact Support",59.99,0,-5.99,-5.99,0,54
"2025-10-01",45442095087983,"#1-100232","All-Purpose Support High Arch",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45444912677231,"#1-100386","Work Cushion",109.98,-109.98,0,-109.98,0,0
"2025-10-01",45444645847407,"#1-100366","Run Pain Relief",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45438662050159,"#1-100204","All-Purpose Support High Arch",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45443660382575,"#1-100300","Run Support Medium Arch",59.99,0,-6,-6,0,53.99
"2025-10-01",45444394516847,"#1-100348","All-Purpose High Impact Support",59.99,-59.99,0,-59.99,0,0
"2025-10-01",45443060236655,"#1-100273","All-Purpose Cushion",34.99,0,-3.49,-3.49,0,31.5
"2025-10-01",45443370123631,"#1-100285","All-Purpose Support High Arch",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45445162533231,"#1-100409","Run Cushion High Arch",59.99,0,-5.99,-5.99,0,54
"2025-10-01",45444842160495,"#1-100380","All-Purpose Support High Arch",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45443821338991,"#1-100307","Sport Ultralight",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45444408279407,"#1-100349","Casual Pain Relief",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45438675026287,"#1-100205","All-Purpose Wide-Fit Support",54.99,0,-10.99,-10.99,0,44
"2025-10-01",45444706009455,"#1-100367","Run Pain Relief",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45444735828335,"#1-100370","Run Pain Relief",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45443972301167,"#1-100322","Hike Cushion",59.99,0,-5.99,-5.99,0,54
"2025-10-01",45444394090863,"#1-100348","Work Cushion",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45442938962287,"#1-100269","All-Purpose Support High Arch",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45443546087791,"#1-100295","Hike Cushion",59.99,0,-5.99,-5.99,0,54
"2025-10-01",45444619174255,"#1-100364","Sport Ultralight",64.99,0,-9.74,-9.74,0,55.25
"2025-10-01",45442010087791,"#1-100228","All-Purpose High Impact Support",59.99,0,-5.99,-5.99,0,54
"2025-10-01",45442211676527,"#1-100238","Casual Women's Easyfit®",34.99,0,-3.49,-3.49,0,31.5
"2025-10-01",45444119855471,"#1-100327","Casual Men's Easyfit®",69.98,0,-13.99,-13.99,0,55.99
"2025-10-01",45442824438127,"#1-100267","Sport Ultralight",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45440533791087,"#1-100212","All-Purpose Support Medium Arch",54.99,-54.99,0,-54.99,0,0
"2025-10-01",45444394484079,"#1-100348","All-Purpose Support High Arch",54.99,-54.99,0,-54.99,0,0
"2025-10-01",45445243502959,"#1-100415","Casual Pain Relief",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45443089826159,"#1-100275","All-Purpose Support Low Arch",54.99,0,-10.99,-10.99,0,44
"2025-10-01",45443126165871,"#1-100277","Casual Pain Relief",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45444992631151,"#1-100395","Work Cushion",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45442264564079,"#1-100243","Hike Support",59.99,0,-5.99,-5.99,0,54
"2025-10-01",45445071143279,"#1-100401","Casual Pain Relief",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45443208610159,"#1-100279","Casual Pain Relief",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45443931210095,"#1-100320","Work Cushion",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45445138809199,"#1-100407","All-Purpose High Impact Support",59.99,-59.99,0,-59.99,0,0
"2025-10-01",45440322961775,"#1-100209","All-Purpose Support High Arch",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45444304961903,"#1-100341","All-Purpose Support Medium Arch",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45444783210863,"#1-100374","Casual Pain Relief",64.99,0,-6.49,-6.49,0,58.5
"2025-10-01",45442559050095,"#1-100254","All-Purpose Support High Arch",54.99,0,-5.49,-5.49,0,49.5
"2025-10-01",45444854776175,"#1-100382","All-Purpose Support High Arch",164.97,-164.97,0,-164.97,0,0
