"Day","Quantity ordered","Day (previous_period)","Quantity ordered (previous_period)"
"2025-09-30",309,"2025-08-30",343
"2025-10-01",294,"2025-08-31",357
"2025-10-02",306,"2025-09-01",343
"2025-10-03",254,"2025-09-02",309
"2025-10-04",273,"2025-09-03",329
"2025-10-05",278,"2025-09-04",302
"2025-10-06",284,"2025-09-05",300
"2025-10-07",279,"2025-09-06",301
"2025-10-08",282,"2025-09-07",408
"2025-10-09",422,"2025-09-08",352
"2025-10-10",259,"2025-09-09",383
"2025-10-11",286,"2025-09-10",325
"2025-10-12",349,"2025-09-11",307
"2025-10-13",331,"2025-09-12",273
"2025-10-14",322,"2025-09-13",272
"2025-10-15",297,"2025-09-14",342
"2025-10-16",291,"2025-09-15",323
"2025-10-17",288,"2025-09-16",346
"2025-10-18",260,"2025-09-17",368
"2025-10-19",310,"2025-09-18",321
"2025-10-20",355,"2025-09-19",284
"2025-10-21",303,"2025-09-20",274
"2025-10-22",310,"2025-09-21",318
"2025-10-23",357,"2025-09-22",360
"2025-10-24",288,"2025-09-23",314
"2025-10-25",215,"2025-09-24",305
"2025-10-26",260,"2025-09-25",321
"2025-10-27",337,"2025-09-26",250
"2025-10-28",314,"2025-09-27",221
"2025-10-29",258,"2025-09-28",290
"2025-10-30",57,"2025-09-29",304
