"Page path","Percent of page loads","Page loads","LCP P75","LCP distribution"
"/",0.241,17710,2208,"[7443,5891,771,781]"
"/pages/insole-finder",0.103,7526,3716,"[2606,1334,704,568]"
"/collections/all-insoles",0.038,2765,912,"[1452,1370,36,46]"
"/products/run-pacer-elite",0.037,2699,1692,"[1031,897,79,55]"
"/products/all-purpose-support-high-arch",0.036,2611,1456,"[977,902,44,31]"
"/collections/running",0.032,2360,1308,"[1260,1178,42,40]"
"/collections/pain-relief",0.03,2205,1007,"[914,867,28,19]"
"/collections/work",0.027,2003,1116,"[823,774,29,20]"
"/collections/best-sellers",0.018,1326,1324,"[467,426,27,14]"
"/products/all-purpose-high-impact-support",0.017,1233,1236,"[440,414,13,13]"
"/products/work-cushion",0.017,1216,1176,"[370,351,11,8]"
"/search",0.017,1255,2164,"[662,523,83,56]"
"/cart",0.017,1263,2065,"[464,373,59,32]"
"/collections/hiking",0.016,1203,1072,"[571,546,16,9]"
"/products/sport-ultralight",0.015,1078,1122,"[390,369,10,11]"
"/products/casual-pain-relief",0.014,1056,1153,"[382,359,10,13]"
"/products/all-purpose-support-medium-arch",0.014,1011,1152,"[339,320,7,12]"
"/collections/all-purpose",0.013,985,934,"[534,511,15,8]"
"/collections/walking",0.013,919,1069,"[430,412,9,9]"
"/collections/all",0.013,955,2106,"[443,342,26,75]"
"/products/run-pain-relief",0.012,867,1156,"[297,284,7,6]"
"/products/all-purpose-support-low-arch",0.012,897,1314,"[343,319,17,7]"
"/products/all-purpose-cushion",0.012,846,1140,"[329,315,7,7]"
"/products/all-purpose-womens-high-impact-support",0.011,819,1252,"[259,244,9,6]"
"/products/hike-support",0.009,689,1402,"[275,259,12,4]"
"/products/all-purpose-memory-foam-support",0.007,502,1723,"[210,188,14,8]"
"/products/run-cushion-high-arch",0.007,530,1210,"[190,179,7,4]"
"/pages/personalized-fit",0.007,487,907,"[319,311,3,5]"
"/pages/store-locator",0.007,524,4710,"[203,93,42,68]"
"/collections/bundles",0.007,486,1324,"[195,180,10,5]"
"/products/hike-cushion",0.007,547,1072,"[198,188,6,4]"
"/products/run-support-high-arch-new",0.006,409,1248,"[157,147,7,3]"
"/products/run-cushion-medium-arch",0.006,435,1046,"[174,163,5,6]"
"/products/all-purpose-wide-fit-support",0.006,405,1434,"[159,152,2,5]"
"/products/run-support-low-arch-new",0.006,466,1154,"[183,175,6,2]"
"/collections/dress",0.006,444,960,"[200,198,2,0]"
"/products/casual-womens-easyfit-r",0.005,335,1361,"[128,118,6,4]"
"/products/run-cushion-low-arch",0.005,380,1018,"[136,131,3,2]"
"/pages/qr-insoles-guide",0.005,386,2932,"[115,79,26,10]"
"/products/run-womens-support",0.004,319,1320,"[93,87,4,2]"
"/products/work-slim-fit-cushion",0.004,294,1360,"[101,95,4,2]"
"/products/casual-mens-easyfit-r",0.004,320,1400,"[122,111,6,5]"
"/products/run-support-medium-arch-new",0.004,306,1038,"[123,116,6,1]"
"/collections/cleat-sports",0.004,267,1176,"[111,105,3,3]"
"/products/work-memory-foam",0.004,261,1472,"[85,79,3,3]"
"/pages/faqs",0.004,287,1324,"[121,108,7,6]"
"/products/hike-cushion-2-pack",0.003,215,1416,"[58,53,3,2]"
"/collections/court-sports",0.003,223,1213,"[74,70,3,1]"
"/products/hockey-performance",0.003,226,1480,"[101,97,2,2]"
"/pages/new-product-releases",0.003,238,1740,"[92,81,8,3]"
"/collections/fitness-training",0.003,194,908,"[81,77,3,1]"
"/pages/returns-and-exchanges",0.003,189,863,"[82,79,1,2]"
"/collections/hockey-skates",0.003,216,1292,"[81,74,4,3]"
"/collections/snow-sports",0.003,243,1187,"[101,94,3,4]"
"/products/casual-support",0.003,240,1028,"[92,89,1,2]"
"/pages/careers",0.003,212,1076,"[135,129,3,3]"
"/products/casual-easyfit-r-high-heel",0.002,142,1684,"[47,41,4,2]"
"/blogs/hiking-outdoor/how-to-choose-which-superfeet-insoles-are-right-for-you",0.002,150,1163,"[76,70,3,3]"
"/products/winter-thin-support",0.002,125,1016,"[51,47,4,0]"
"/products/hike-womens-support",0.002,171,1397,"[66,62,2,2]"
"/pages/healthcare-professionals",0.002,120,990,"[67,63,2,2]"
"/collections/racquet-sports",0.002,178,1092,"[58,54,2,2]"
"/pages/the-science-of-superfeet",0.002,133,872,"[55,54,0,1]"
"/products/work-cushion-2-pack-multipack",0.002,174,1332,"[61,57,2,2]"
"/products/ap-support-high-arch-2-pack-multipack",0.002,126,1532,"[44,40,2,2]"
"/pages/60-day-guarantee",0.002,173,1305,"[76,66,3,7]"
"/collections/womens",0.002,112,1620,"[55,50,1,4]"
"/products/hockey-cushion",0.002,156,1440,"[53,52,1,0]"
"/pages/size-chart",0.002,146,2024,"[72,60,5,7]"
"/products/winter-support",0.002,165,1373,"[68,62,4,2]"
"/collections/mens",0.002,148,1754,"[92,80,6,6]"
"/pages/contact",0.002,122,808,"[54,54,0,0]"
"/blogs/hiking-outdoor/carbon-fiber-insoles-use-cases-benefits",0.001,59,949,"[30,28,1,1]"
"/pages/workplace-programs",0.001,56,1117,"[26,25,1,0]"
"/products/casual-pain-relief-2-pack",0.001,54,1044,"[15,14,1,0]"
"/pages/insole-finder-preview",0.001,38,4514,"[35,11,11,13]"
"/products/all-purpose-support-high-arch-4-pack",0.001,57,2053,"[34,30,2,2]"
"/products/best-sellers-bundle",0.001,87,1226,"[30,28,2,0]"
"/blogs/running/innovation-in-action-upgrading-superfeet-run-support-insoles",0.001,53,1004,"[32,31,1,0]"
"/blogs/foot-health-podiatry/flat-feet-explained",0.001,54,1502,"[22,21,0,1]"
"/products/work-hard-play-hard-pack",0.001,105,2448,"[41,31,7,3]"
"/blogs/company-news/the-top-10-relay-races-to-have-on-your-radar",0.001,41,2432,"[10,7,1,2]"
"/products/all-purpose-high-impact-support-2-pack",0.001,50,1323,"[14,14,0,0]"
"/products/running-starter-pack",0.001,93,3388,"[33,18,11,4]"
"/products/run-pain-relief-2-pack",0.001,52,1493,"[14,13,0,1]"
"/products/pain-relief-bundle",0.001,109,1316,"[29,28,1,0]"
"/products/ap-support-high-arch-3-pack-multipack",0.001,65,1995,"[21,17,1,3]"
"/blogs/company-news/how-to-choose-the-right-insole-arch-height-for-your-feet",0.001,84,1248,"[45,41,2,2]"
"/blogs/health-wellness/soft-vs-firm-insoles-what-is-the-difference-and-how-to-choose-which-experience-is-right-for-you",0.001,42,1416,"[25,22,1,2]"
"/collections/kids",0.001,70,1368,"[33,28,1,4]"
"/pages/why-superfeet",0.001,101,847,"[64,60,3,1]"
"/collections/golfing",0.001,109,964,"[53,53,0,0]"
"/pages/promotions",0.001,66,1304,"[35,31,0,4]"
"/products/me3d",0.001,76,2084,"[33,26,4,3]"
"/blogs/running/foot-stress-fractures-explained",0,9,1667,"[4,4,0,0]"
"/products/racket-performance",0,1,432,"[1,1,0,0]"
"/collections/running-insoles-v2",0,3,2436,"[3,2,1,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nL2FuLW92ZXJ2aWV3LW9mLXRoZS1ub3J0aC1jb3VudHJ5LW5hdGlvbmFsLXNjZW5pYy10cmFpbA%2C%2C/",0,1,9043,"[1,0,0,1]"
"/blogs/company-news/10-of-the-best-running-songs-of-all-time",0,11,1788,"[4,4,0,0]"
"/collections/hole-in-the-wall-qr-code-landing-page-test",0,1,764,"[1,1,0,0]"
"/collections/ski-snowboard",0,1,5880,"[1,0,0,1]"
"/blogs/company-news/how-superfeet-is-making-sustainable-strides-forward",0,1,0,"[0,0,0,0]"
"/blogs/running/running-with-purpose-coach-corey-morgan-s-journey-to-his-third-chicago-marathon-with-peace-runners-773",0,1,0,"[0,0,0,0]"
"/blogs/running/running-insoles-benefits-differences-between-the-run-and-adapt-lines",0,15,1360,"[9,8,0,1]"
"/blogs/foot-health-podiatry/achilles-tendonitis-explained",0,15,776,"[9,9,0,0]"
"/blogs/hiking-outdoor/mountains-and-the-beach-5-destinations-where-you-can-have-both",0,15,1218,"[3,3,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL215LWZhdm9yaXRlLW91dGRvb3Itd29ya291dHM%2C/",0,1,591,"[1,1,0,0]"
"/collections/hole-in-the-wall-qr-code-landing-page-success",0,36,2344,"[21,16,1,4]"
"/blogs/foot-health-podiatry",0,15,1892,"[9,7,1,1]"
"/en-us/insoles-and-sandals/fin-go-comfort",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/overpronation-vs-underpronation-finding-the-perfect-balance-with-superfeet-insoles",0,1,7428,"[1,0,0,1]"
"/en-eu/news/no-driving-necessary-10-great-portland-adventures-via-mass-transit",0,1,2340,"[1,1,0,0]"
"/blogs/national-parks/trail-running-in-olympic-national-park-an-insider-s-guide",0,3,3298,"[1,0,1,0]"
"/en-us/everyday-slim-fit-men",0,4,0,"[0,0,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3Bvc2l0aXZlLWFmZmlybWF0aW9ucy10by1zdGFydC15b3VyLWRheQ%2C%2C/",0,1,3835,"[1,0,1,0]"
"/collections/hole-in-the-wall-qr-code-landing-page",0,16,809,"[14,14,0,0]"
"/blogs/foot-health-podiatry/shin-splints-explained",0,8,958,"[6,6,0,0]"
"/blogs/running/how-to-eat-like-an-elite-athlete-inside-an-elite-athletes-diet",0,1,10676,"[1,0,0,1]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9wZXJzb25hbGl6ZWQ%2C/",0,1,6591,"[1,0,0,1]"
"/pages/me3d-store-locator",0,21,5128,"[8,5,0,3]"
"/en-eu/news/6-types-of-running-workouts-and-why-you-need-them",0,1,4292,"[1,0,0,1]"
"/blogs/foot-health-podiatry/plantar-fasciitis-explained",0,30,844,"[13,13,0,0]"
"/products/all-purpose-memory-foam-support%0A%20",0,1,0,"[0,0,0,0]"
"/products/hockey-performance-2-pack",0,17,3208,"[3,2,0,1]"
"/blogs/company-news/superfeet-hockey-insoles-the-ultimate-assist",0,14,925,"[7,7,0,0]"
"/blogs/health-wellness/tips-to-relieve-tired-and-aching-feet-according-to-a-podiatrist",0,4,1228,"[3,3,0,0]"
"/blogs/company-news/couch-to-5k-running-training-plan-for-beginning-runners",0,17,1326,"[6,6,0,0]"
"/blogs/hiking-outdoor/the-10-most-memorable-hikes-in-north-america",0,2,0,"[0,0,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9ibG9nL29uY2UtYS10aHJ1LWhpa2VyLWFsd2F5cy1hLXRocnUtaGlrZXI%2C/",0,1,10133,"[1,0,0,1]"
"/en-us/insoles/trailblazer-comfort",0,1,1176,"[1,1,0,0]"
"/en-au/blogs/health-wellness",0,1,3988,"[1,0,1,0]"
"/blogs/foot-health-podiatry/outside-foot-pain-how-to-manage-it-with-superfeet-insoles-and-avoid-surgery",0,6,1864,"[4,3,1,0]"
"/blogs/company-news/15-of-colorados-most-scenic-trail-running-destinations",0,1,1852,"[1,1,0,0]"
"/pages/disclaimer-of-warranty",0,4,3468,"[3,2,0,1]"
"/en-us/customer/account/create/",0,1,10584,"[1,0,0,1]"
"/blogs/technology/the-unique-benefits-of-me3d-personalized-insoles",0,1,480,"[1,1,0,0]"
"/press/release/Superfeet/Insoles/Dutch/Ski/Snowboard.aspx",0,1,11176,"[1,0,0,1]"
"/en-us/run-comfort-insoles",0,1,1708,"[1,1,0,0]"
"/rx/national-parks/national-parks/great-smoky-mountains",0,1,15128,"[1,0,0,1]"
"/products/commuter-essentials-pack",0,25,2390,"[7,5,1,1]"
"/blogs/national-parks/a-guide-to-the-best-hiking-in-olympic-national-park",0,2,9548,"[1,0,0,1]"
"/en-us/insoles-and-sandals/linden-black",0,1,0,"[0,0,0,0]"
"/blogs/company-news/superfeet-insoles-for-athletes-nurses-and-professionals",0,13,1450,"[6,5,1,0]"
"/blogs/running/finding-your-stride-lessons-from-a-high-school-cross-country-team",0,1,2816,"[1,0,1,0]"
"/blogs/foot-health-podiatry/supination-101-why-the-right-insoles-matter-for-your-foot-health",0,1,3040,"[1,0,1,0]"
"/blogs/hiking-outdoor/hiking-insoles-benefits-differences-between-adapt-hike-and-trailblazer",0,17,1074,"[7,6,1,0]"
"/blogs/national-parks/trail-running-in-the-smokies-an-insider-s-guide",0,7,3270,"[2,1,0,1]"
"/pages/work-memory-foam-size-chart",0,14,1004,"[12,11,1,0]"
"/blogs/running/best-stretches-and-exercises-for-plantar-fasciitis-relief",0,10,1457,"[4,4,0,0]"
"/blogs/company-news/meet-superfeet-work-support-that-works-as-hard-as-you-do",0,13,819,"[6,6,0,0]"
"/en-us/insoles-and-sandals/run-comfort",0,3,1032,"[1,1,0,0]"
"/en-us/news/strength-training-for-runners-exercises-you-can-do-at-home",0,1,4972,"[1,0,0,1]"
"/blogs/hiking-outdoor/day-hiking-everything-you-need-to-get-started",0,3,2452,"[2,1,1,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9zaG9wL2hpa2UtY3VzaGlvbg%2C%2C/",0,1,2815,"[1,0,1,0]"
"/blogs/national-parks/backpacking-in-the-smokies-an-insider-s-guide",0,1,5888,"[1,0,0,1]"
"/blogs/running/lacing-patterns-for-common-foot-issues",0,14,2446,"[10,8,2,0]"
"/en-us/casual-mens-easyfit",0,1,9906,"[1,0,0,1]"
"/blogs/technology/how-3d-printed-me3d-personalized-insoles-are-made",0,2,435,"[2,2,0,0]"
"/blogs/foot-health-podiatry/metatarsalgia-explained",0,31,1436,"[17,17,0,0]"
"/blogs/national-parks/hiking-in-shenandoah-national-park-an-insider-s-guide",0,1,0,"[0,0,0,0]"
"/rx/blogs/health-wellness",0,1,9668,"[1,0,0,1]"
"/en-us/ambassador-application/",0,1,8344,"[1,0,0,1]"
"/en-au/national-parks/national-parks/grand-canyon",0,1,3120,"[1,0,1,0]"
"/en-us/insoles/hike-support",0,1,4004,"[1,0,0,1]"
"/blogs/running/best-running-shoes-for-high-arches-where-superfeet-ranks",0,1,0,"[0,0,0,0]"
"/blogs/national-parks/trail-running-in-the-grand-canyon-an-insider-s-guide",0,3,1616,"[1,1,0,0]"
"/en-eu/blog/superfeet-volunteers-1000-plus-hours-in-2019",0,1,7264,"[1,0,0,1]"
"/products/active-support-high-arch",0,2,2170,"[2,1,1,0]"
"/blogs/company-news/what-is-different-about-superfeet-womens-specific-insoles",0,4,304,"[1,1,0,0]"
"/products/run-support-medium-arch",0,2,600,"[1,1,0,0]"
"/en-gb/blog/staying-safe-in-the-sunshine",0,1,2336,"[1,1,0,0]"
"/pages/holiday-gift-guide",0,7,917,"[4,4,0,0]"
"/blogs/foot-health-podiatry/high-arches-explained",0,2,0,"[0,0,0,0]"
"/products/all-purpose-high-impact-support-3-pack",0,25,1448,"[4,4,0,0]"
"/blogs/foot-health-podiatry/mortons-neuroma-explained",0,3,1312,"[2,2,0,0]"
"/en-us/customer/account/login/",0,1,1536,"[1,1,0,0]"
"/blogs/company-news/superfeet-wins-recognition-in-inc-s-best-workplaces-2025",0,5,660,"[3,3,0,0]"
"/blogs/foot-health-podiatry/what-are-the-best-insoles-for-plantar-fasciitis-in-2025",0,13,1453,"[8,7,0,1]"
"/collections/personalized",0,21,1490,"[14,13,0,1]"
"/en-us/collections/running",0,2,0,"[0,0,0,0]"
"/blogs/running/6-mid-run-snacks-for-runners-to-reenergize",0,8,2296,"[6,4,2,0]"
"/en-eu/news/how-to-not-overheat-while-running-this-summer",0,1,3332,"[1,0,1,0]"
"/blogs/company-news/olympian-colleen-quigley-joins-team-superfeet",0,16,1019,"[12,12,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3N1cGVyZmVldC1jb21tdW5pdHktcmV0YWlsZXItYXdhcmQtZmluYWxpc3RzLTIwMjE%2C/",0,1,316,"[1,1,0,0]"
"/en-ca/everyday-pain-relief",0,1,4447,"[1,0,0,1]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9ibG9nL3llcy1jYWJpbi1mZXZlci1pcy1yZWFsLWhlcmUtaXMtaG93LXRvLXByZXZlbnQtaXQ%2C/",0,1,12483,"[1,0,0,1]"
"/activity/military/default.aspx",0,1,25504,"[1,0,0,1]"
"/blogs/company-news/superfeet-2024-year-in-review",0,1,1244,"[1,1,0,0]"
"/blogs/foot-health-podiatry/should-i-put-footbeds-in-my-ski-boots",0,10,1101,"[2,2,0,0]"
"/blogs/foot-health-podiatry/work-boot-insoles-that-fight-fatigue-even-on-concrete-floors",0,10,570,"[2,2,0,0]"
"/en-us/insoles-and-sandals/all-purpose-support-high-arch-green-insoles",0,1,556,"[1,1,0,0]"
"/en-eu/blog/how-to-ramp-up-your-fitness-routine-with-trail-running",0,1,3476,"[1,0,1,0]"
"/blogs/company-news/10-best-hikes-in-boulder",0,1,35596,"[1,0,0,1]"
"/en-us/news/5-ways-to-reduce-stress-for-total-body-wellness",0,1,3672,"[1,0,1,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nLzMtZGF5cy1vZi1ydW5uaW5nLWluLXRocmVlLXUtcy10cmFpbC1tZWNjYXM%2C/",0,1,521,"[1,1,0,0]"
"/blogs/health-wellness/plantar-fasciitis-relief-superfeet-best-sellers",0,27,1523,"[12,11,0,1]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL2FkdmVudHVyZS13aXRoLXNmLW1lZXQtY2hyaXM%2C/",0,1,897,"[1,1,0,0]"
"/pages/inso1%20cug%20chopped%20onion%20to%20gramsle-finder",0,1,7320,"[1,0,0,1]"
"/products/run-support-low-arch",0,16,2950,"[8,3,4,1]"
"/blogs/running/fix-your-plantar-fasciitis-pain",0,2,1988,"[1,1,0,0]"
"/pages/accessibility-policy",0,1,536,"[1,1,0,0]"
"/blogs/company-news/5-great-long-runs-in-philadelphia",0,2,0,"[0,0,0,0]"
"/en-ca/insoles-and-sandals",0,1,1248,"[1,1,0,0]"
"/blogs/hiking-outdoor/10-of-the-best-weekend-backpacking-trips-in-the-us",0,2,0,"[0,0,0,0]"
"/en-us/news/recovery-sandals-give-feet-support-they-deserve",0,1,3992,"[1,0,1,0]"
"/blogs/hiking-outdoor/9-trails-that-prove-the-midwest-is-a-hikers-paradise",0,3,0,"[0,0,0,0]"
"/blogs/company-news/superfeet-is-now-the-official-insole-partner-of-the-kitchener-rangers",0,1,0,"[0,0,0,0]"
"/en-ca/products/run-support-low-arch",0,1,0,"[0,0,0,0]"
