"Product title","Quantity ordered","Quantity returned","Returned quantity rate","Quantity ordered (previous_period)","Quantity returned (previous_period)","Returned quantity rate (previous_period)"
"All-Purpose Support High Arch",353,-3,0.0084985835694051,320,-3,0.009375
"Work Cushion",162,0,0,190,0,0
"All-Purpose Support Medium Arch",125,0,0,150,0,0
"All-Purpose High Impact Support",123,0,0,134,0,0
"All-Purpose Cushion",96,-1,0.010416666666666666,79,0,0
"All-Purpose Support Low Arch",94,0,0,97,0,0
"Run Cushion High Arch",89,-3,0.033707865168539325,83,0,0
"All-Purpose Women's High Impact Support",84,-1,0.011904761904761904,113,-1,0.008849557522123894
"Hike Cushion",69,0,0,78,0,0
"Run Pain Relief",67,0,0,129,0,0
"Casual Women's Easyfit®",63,0,0,60,0,0
"Casual Pain Relief",62,-2,0.03225806451612903,135,0,0
"Run Cushion Medium Arch",58,0,0,55,0,0
"Hike Support",58,-2,0.034482758620689655,52,0,0
"Run Cushion Low Arch",53,0,0,53,0,0
"Run Women's Support",48,-1,0.020833333333333332,37,0,0
"Run Support Low Arch",47,-1,0.02127659574468085,47,0,0
"Run Pacer Elite",38,0,0,61,0,0
"Casual Men's Easyfit®",37,0,0,47,0,0
"Run Support Medium Arch",35,0,0,32,0,0
"Sport Ultralight",31,-1,0.03225806451612903,102,0,0
"All-Purpose Wide-Fit Support",30,0,0,35,-1,0.02857142857142857
"Run Support High Arch",28,0,0,53,0,0
"Work Memory Foam",26,0,0,14,0,0
"All-Purpose Memory Foam Support",25,0,0,38,0,0
"All-Purpose Support High Arch 2-Pack",19,0,0,14,-1,0.07142857142857142
"Hockey Performance",18,0,0,20,0,0
"Run Pain Relief 2-Pack",17,0,0,7,0,0
"Work Slim-Fit Cushion",17,0,0,26,0,0
"Winter Support",13,0,0,9,0,0
"Winter Thin Support",12,0,0,15,0,0
"Casual Easyfit® High Heel",12,0,0,25,0,0
"Casual Pain Relief 2-Pack",11,-1,0.09090909090909091,3,0,0
"Hockey Cushion",11,0,0,12,0,0
"Hike Women's Support",10,0,0,14,0,0
"Hike Cushion 2-Pack",9,0,0,8,0,0
"Best Sellers Bundle",6,0,0,6,0,0
"Casual Support",6,0,0,29,0,0
"Work Cushion 2-Pack",5,0,0,9,0,0
"Pain Relief Bundle",4,0,0,8,0,0
"All-Purpose High Impact Support 2-Pack",4,0,0,4,0,0
"All-Purpose Support High Arch 3-Pack",3,0,0,3,0,0
"All-Purpose Support High Arch 4-Pack",3,0,0,1,0,0
"All-Purpose High Impact Support 3-Pack",2,0,0,1,0,0
"Work Hard Play Hard Pack",1,0,0,3,0,0
"Commuter Essentials Pack",1,0,0,3,0,0
"Gift Card",1,0,0,0,0,
