"Discount name","Discount method","Discount type","Discount class","Applied discounts","Product and order discounts from apps","Shipping discounts from apps","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"WELCOME10","discount_code","percentage","product",-5534.11,0,0,939,55425.61,-576,49315.5,0,2859.35,52174.85
"WELCOME15","discount_code","percentage","product",-7946.9,0,0,900,53030.9,-297.5,44786.5,0,2439.32,47225.82
"PERKS15","discount_code","percentage","product",-337.92,0,0,33,2254.61,0,1916.69,0,75.27,1991.96
"Honey20","discount_code","percentage","product",-417.62,0,0,17,2089.62,0,1672,0,83.28,1755.28
"GMX-6898-2838-3922","discount_code","percentage","product",-179.97,0,0,1,899.85,0,719.88,0,63,782.88
"3696-3336-6807","discount_code","percentage","product",-179.97,0,0,1,599.9,0,419.93,0,0,419.93
"GX-OJTMOU4YWN","discount_code","percentage","product",-67.92,0,0,1,339.92,0,272,0,21.08,293.08
"GMX-1589-2196-2976","discount_code","percentage","product",-59.99,0,0,1,299.95,0,239.96,0,14.4,254.36
"MAEV-CESL-WASC","discount_code","percentage","order",-24.49,0,0,1,244.96,0,220.47,0,13.23,233.7
"GMX-8726-9431-3526","discount_code","percentage","product",-49.99,0,0,1,249.96,0,199.97,0,18.75,218.72
"GX-FBUMFP6J34","discount_code","percentage","product",-47.96,0,0,1,239.96,0,192,0,16.32,208.32
"GMX-9815-8733-2487","discount_code","percentage","product",-47.99,0,0,1,239.96,0,191.97,0,4.94,196.91
"GX-AS444PQX37","discount_code","percentage","product",-45.96,0,0,1,229.96,0,184,0,10.12,194.12
"GMX-9966-7792-3202","discount_code","percentage","product",-47.99,0,0,1,239.96,0,191.97,0,0,191.97
"GMX-7866-6782-3791","discount_code","percentage","product",-42.99,0,0,1,214.96,0,171.97,0,16.34,188.31
"PerkSpot15","discount_code","percentage","product",-23.98,0,0,2,159.98,0,136,0,10.69,146.69
"GX-ZMXZFKF4AR","discount_code","percentage","product",-32.97,0,0,1,164.97,0,132,0,13.66,145.66
"NEWNAME10","discount_code","percentage","product",-14.98,0,0,2,149.97,0,134.99,0,10.56,145.55
"SFFF-5912-9099-8458","discount_code","percentage","product",-53.97,0,0,1,179.97,0,126,0,12.99,138.99
"GMX-4502-3099-7800","discount_code","percentage","product",-32.99,0,0,1,164.97,0,131.98,0,7,138.98
"GX-MSX9B7PIR4","discount_code","percentage","product",-32.97,0,0,1,164.97,0,132,0,0,132
"GMX-8899-6929-5263","discount_code","percentage","product",-32.99,0,0,1,164.97,0,131.98,0,0,131.98
"GX-FZAJPYUI5X","discount_code","percentage","product",-25.98,0,0,1,129.98,0,104,0,10.66,114.66
"GX-9OFXDOZ34T","discount_code","percentage","product",-25.98,0,0,1,129.98,0,104,0,8.58,112.58
"NKCA-YIJJ-AIHL","discount_code","percentage","order",-11.49,0,0,1,114.98,0,103.49,0,8.74,112.23
"GMX-7871-6038-4654","discount_code","percentage","product",-27.99,0,0,1,139.96,0,111.97,0,0,111.97
