"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
"Homepage","/",9914,11033,682,511
"Custom Page","/pages/insole-finder",2676,3382,257,163
"Product","/products/all-purpose-support-high-arch",1330,1505,138,92
"Collection","/collections/all",1164,1203,24,11
"Product","/products/run-pacer-elite",825,903,79,54
"Collection","/collections/work",742,869,54,40
"Collection","/collections/all-insoles",731,810,68,46
"Collection","/collections/running",633,774,29,18
"Collection","/collections/pain-relief",622,728,25,17
"Product","/products/work-cushion",526,647,41,24
"Product","/products/all-purpose-support-medium-arch",436,529,34,25
"Collection","/collections/best-sellers",458,514,25,13
"Product","/products/all-purpose-high-impact-support",417,484,32,24
"Product","/products/all-purpose-support-low-arch",346,380,23,15
"Collection","/collections/hiking",316,349,19,16
"Product","/products/all-purpose-cushion",285,345,35,22
"Product","/products/casual-pain-relief",291,340,14,8
"Product","/products/all-purpose-womens-high-impact-support",266,334,28,17
"Custom Page","/pages/qr-insoles-guide",288,331,4,4
"Product","/products/run-cushion-high-arch",252,311,24,14
"Product","/products/hike-support",264,299,15,8
"Product","/products/run-pain-relief",213,244,13,7
"Product","/products/sport-ultralight",201,244,7,6
"Product","/products/all-purpose-wide-fit-support",191,236,10,8
"Product","/products/hike-cushion",200,231,15,12
"Product","/products/hike-cushion-2-pack",216,231,1,1
"Product","/products/all-purpose-memory-foam-support",189,210,7,4
"Cart","/cart",132,198,41,46
"Product","/products/casual-womens-easyfit-r",158,187,17,10
"Product","/products/winter-support",176,184,5,4
"Collection","/collections/snow-sports",146,168,4,2
"Product","/products/work-slim-fit-cushion",149,167,9,4
"Product","/products/run-support-low-arch-new",144,163,7,7
"Product","/products/run-womens-support",139,154,16,10
"Collection","/collections/walking",121,153,8,6
"Product","/products/all-purpose-support-high-arch-4-pack",140,152,5,3
"Custom Page","/pages/store-locator",116,150,2,1
"Product","/products/casual-mens-easyfit-r",130,149,14,8
"Product","/products/work-cushion-2-pack-multipack",132,142,7,3
"Search","/search",120,138,8,7
"Collection","/collections/mens",135,136,4,2
"Custom Page","/pages/personalized-fit",130,135,1,1
"Collection","/collections/court-sports",122,132,8,5
"Product","/products/run-cushion-low-arch",114,126,6,4
"Collection","/collections/all-purpose",112,123,12,6
"Product","/products/hockey-performance",104,121,3,2
"Product","/products/run-cushion-medium-arch",103,120,5,5
"Collection","/collections/dress",112,117,3,2
"Custom Page","/pages/faqs",103,116,1,1
"Custom Page","/pages/careers",95,116,0,0
"Product","/products/casual-easyfit-r-high-heel",96,115,6,3
"Collection","/collections/bundles",97,111,11,6
"Custom Page","/pages/size-chart",108,111,1,0
"Product","/products/ap-support-high-arch-2-pack-multipack",97,104,8,3
"Blog Article","/blogs/hiking-outdoor/how-to-choose-which-superfeet-insoles-are-right-for-you",98,100,2,0
"Custom Page","/pages/60-day-guarantee",89,100,2,1
"Collection","/collections/hockey-skates",95,97,5,3
"Collection","/collections/cleat-sports",87,95,4,3
"Collection","/collections/kids",89,90,1,1
"Product","/products/hockey-cushion",76,87,4,4
"Product","/products/run-support-high-arch-new",75,87,6,5
"Blog Article","/blogs/company-news/how-to-choose-the-right-insole-arch-height-for-your-feet",83,87,0,0
"Product","/products/work-memory-foam",73,84,8,4
"Collection","/collections/womens",82,82,6,6
"Custom Page","/pages/returns-and-exchanges",62,81,1,2
"Collection","/collections/fitness-training",68,72,2,1
"Custom Page","/pages/the-science-of-superfeet",57,72,0,0
"Product","/products/winter-thin-support",66,69,3,1
"Product","/products/casual-support",52,67,2,2
"Product","/products/run-support-medium-arch-new",60,66,5,3
"Product","/products/me3d",65,65,0,0
"Product","/products/ap-support-high-arch-3-pack-multipack",59,64,1,1
"Blog Article","/blogs/foot-health-podiatry/flat-feet-explained",59,61,0,1
"Custom Page","/pages/privacy-policy",56,58,1,1
"Collection","/collections/racquet-sports",53,56,0,1
"Product","/products/running-starter-pack",42,54,1,1
"Product","/products/hike-womens-support",47,53,2,0
"Blog Article","/blogs/health-wellness/soft-vs-firm-insoles-what-is-the-difference-and-how-to-choose-which-experience-is-right-for-you",51,52,0,0
"Custom Page","/pages/contact",44,50,1,1
"Product","/products/pain-relief-bundle",44,49,1,1
"Blog Article","/blogs/company-news/couch-to-5k-running-training-plan-for-beginning-runners",37,40,0,0
"Blog Article","/blogs/company-news/the-top-10-relay-races-to-have-on-your-radar",34,35,0,0
"Blog Article","/blogs/foot-health-podiatry/plantar-fasciitis-explained",28,34,1,0
"Product","/products/work-hard-play-hard-pack",33,33,0,0
"Custom Page","/pages/why-superfeet",30,31,2,1
"Blog Article","/blogs/running/running-for-boxing-a-boxers-running-routine-explained",29,29,0,0
"Custom Page","/pages/pain-relief",28,28,6,5
"Custom Page","/pages/promotions",27,27,1,0
"Blog Article","/blogs/hiking-outdoor/carbon-fiber-insoles-use-cases-benefits",26,27,0,1
"Blog Article","/blogs/foot-health-podiatry/metatarsalgia-explained",26,26,0,0
"Product","/products/best-sellers-bundle",24,25,2,2
"Custom Page","/pages/cookie-policy",22,23,0,0
"Blog Article","/blogs/hiking-outdoor/hiking-insoles-benefits-differences-between-adapt-hike-and-trailblazer",19,23,0,0
,"/)",23,23,0,0
"Custom Page","/pages/healthcare-professionals",23,23,0,0
"Product","/products/gift-card",22,22,1,0
"Homepage","/shop",20,21,8,8
"Blog Article","/blogs/foot-health-podiatry/what-are-the-best-insoles-for-plantar-fasciitis-in-2025",18,19,0,0
"Collection","/collections/golfing",19,19,0,0
"Blog Article","/blogs/running/lacing-patterns-for-common-foot-issues",18,19,0,0
"Blog Article","/blogs/hiking-outdoor/mountains-and-the-beach-5-destinations-where-you-can-have-both",16,18,0,0
"Collection","/collections/discount-eligable",18,18,1,1
"Custom Page","/pages/workplace-programs",17,17,0,0
