"Day","Sale ID","Order name","Shipping charges","Shipping charge discounts","Shipping charge taxes","Total shipping charges"
"2025-10-01",45444239360367,"#1-100335",0,0,0,0
"2025-10-01",45442486042991,"#1-100247",0,0,0,0
"2025-10-01",45438662082927,"#1-100204",0,0,0,0
"2025-10-01",45441860403567,"#1-100219",0,0,0,0
"2025-10-01",45445054103919,"#1-100400",0,0,0,0
"2025-10-01",45442778530159,"#1-100264",0,0,0,0
"2025-10-01",45444783243631,"#1-100374",0,0,0,0
"2025-10-01",45442260009327,"#1-100242",0,0,0,0
"2025-10-01",45444632969583,"#1-100365",0,0,0,0
"2025-10-01",45444590207343,"#1-100363",0,0,0,0
"2025-10-01",45441911587183,"#1-100225",0,0,0,0
"2025-10-01",45443900539247,"#1-100317",0,0,0,0
"2025-10-01",45445071176047,"#1-100401",0,0,0,0
"2025-10-01",45443499557231,"#1-100293",0,0,0,0
"2025-10-01",45442434367855,"#1-100246",0,0,0,0
"2025-10-01",45443508863343,"#1-100294",0,0,0,0
"2025-10-01",45445304549743,"#1-100416",0,0,0,0
"2025-10-01",45443864592751,"#1-100313",0,0,0,0
"2025-10-01",45441897038191,"#1-100223",0,0,0,0
"2025-10-01",45442237890927,"#1-100240",0,0,0,0
"2025-10-01",45442282160495,"#1-100245",0,0,0,0
"2025-10-01",45443733127535,"#1-100302",0,0,0,0
"2025-10-01",45445188026735,"#1-100411",0,0,0,0
"2025-10-01",45444920508783,"#1-100387",0,0,0,0
"2025-10-01",45444999381359,"#1-100397",0,0,0,0
"2025-10-01",45443555000687,"#1-100297",0,0,0,0
"2025-10-01",45443071246703,"#1-100274",0,0,0,0
"2025-10-01",45439251743087,"#1-100206",0,0,0,0
"2025-10-01",45444619207023,"#1-100364",0,0,0,0
"2025-10-01",45444981784943,"#1-100393",0,0,0,0
"2025-10-01",45440301793647,"#1-100208",0,0,0,0
"2025-10-01",45442247000431,"#1-100241",0,0,0,0
"2025-10-01",45441842545007,"#1-100217",0,0,0,0
"2025-10-01",45444022501743,"#1-100324",0,0,0,0
"2025-10-01",45444243652975,"#1-100336",0,0,0,0
"2025-10-01",45443821371759,"#1-100307",0,0,0,0
"2025-10-01",45443371958639,"#1-100286",0,0,0,0
"2025-10-01",45443911025007,"#1-100318",0,0,0,0
"2025-10-01",45443060302191,"#1-100273",0,0,0,0
"2025-10-01",45444444782959,"#1-100354",0,0,0,0
"2025-10-01",45443831562607,"#1-100309",0,0,0,0
"2025-10-01",45443722314095,"#1-100301",0,0,0,0
"2025-10-01",45443939172719,"#1-100321",0,0,0,0
"2025-10-01",45444394156399,"#1-100348",0,0,0,0
"2025-10-01",45442574057839,"#1-100257",0,0,0,0
"2025-10-01",45442873917807,"#1-100268",0,0,0,0
"2025-10-01",45443660448111,"#1-100300",0,0,0,0
"2025-10-01",45442824470895,"#1-100267",0,0,0,0
"2025-10-01",45444554785135,"#1-100359",0,0,0,0
"2025-10-01",45443594191215,"#1-100299",0,0,0,0
"2025-10-01",45442047967599,"#1-100229",0,0,0,0
"2025-10-01",45445230264687,"#1-100414",0,0,0,0
"2025-10-01",45444926177647,"#1-100388",0,0,0,0
"2025-10-01",45444842193263,"#1-100380",0,0,0,0
"2025-10-01",45444571103599,"#1-100361",0,0,0,0
"2025-10-01",45445162598767,"#1-100409",0,0,0,0
"2025-10-01",45444473553263,"#1-100355",0,0,0,0
"2025-10-01",45443931242863,"#1-100320",0,0,0,0
"2025-10-01",45443257401711,"#1-100283",0,0,0,0
"2025-10-01",45444318003567,"#1-100342",0,0,0,0
"2025-10-01",45440339706223,"#1-100210",0,0,0,0
"2025-10-01",45443812098415,"#1-100306",0,0,0,0
"2025-10-01",45442808709487,"#1-100266",0,0,0,0
"2025-10-01",45444587815279,"#1-100362",0,0,0,0
