Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Women 8.5 - 10 | Men 7.5 - 9,,,,,,,,Superfeet Worldwide LLC,,0,0,0,199,199,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Women 8.5 - 10 | Men 7.5 - 9,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,192,192,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Women 8.5 - 10 | Men 7.5 - 9,,,,,,,,Quiet La Palma Warehouse,,0,0,0,83,83,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Women 10.5 - 12 | Men 9.5 - 11,,,,,,,,Superfeet Worldwide LLC,,0,0,0,198,198,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Women 10.5 - 12 | Men 9.5 - 11,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,192,192,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Women 10.5 - 12 | Men 9.5 - 11,,,,,,,,Quiet La Palma Warehouse,,0,0,0,207,207,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Women 12. 5 - 14 | Men 11.5 - 13,,,,,,,,Superfeet Worldwide LLC,,0,0,0,200,200,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Women 12. 5 - 14 | Men 11.5 - 13,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,197,197,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Women 12. 5 - 14 | Men 11.5 - 13,,,,,,,,Quiet La Palma Warehouse,,0,0,0,119,119,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Men 13.5 - 15,,,,,,,,Superfeet Worldwide LLC,,0,0,0,200,200,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Men 13.5 - 15,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,198,198,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Men 13.5 - 15,,,,,,,,Quiet La Palma Warehouse,,0,0,0,60,60,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Men 15.5 - 17,,,,,,,,Superfeet Worldwide LLC,,0,0,0,200,200,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Men 15.5 - 17,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,200,200,
all-purpose-high-impact-support-2-pack,All-Purpose High Impact Support 2-Pack,Sizes,Men 15.5 - 17,,,,,,,,Quiet La Palma Warehouse,,0,0,0,14,14,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 6.5 - 8 | Men 5.5 - 7,,,,,,,,Superfeet Worldwide LLC,,0,0,0,200,200,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 6.5 - 8 | Men 5.5 - 7,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,200,200,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 6.5 - 8 | Men 5.5 - 7,,,,,,,,Quiet La Palma Warehouse,,0,0,0,29,29,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 8.5 - 10 | Men 7.5 - 9,,,,,,,,Superfeet Worldwide LLC,,0,0,0,199,199,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 8.5 - 10 | Men 7.5 - 9,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,199,199,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 8.5 - 10 | Men 7.5 - 9,,,,,,,,Quiet La Palma Warehouse,,0,0,1,39,40,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 10.5 - 12 | Men 9.5 - 11,,,,,,,,Superfeet Worldwide LLC,,0,0,0,197,197,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 10.5 - 12 | Men 9.5 - 11,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,199,199,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 10.5 - 12 | Men 9.5 - 11,,,,,,,,Quiet La Palma Warehouse,,0,0,0,40,40,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 12. 5 - 14 | Men 11.5 - 13,,,,,,,,Superfeet Worldwide LLC,,0,0,0,200,200,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 12. 5 - 14 | Men 11.5 - 13,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,197,197,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Women 12. 5 - 14 | Men 11.5 - 13,,,,,,,,Quiet La Palma Warehouse,,0,0,0,40,40,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Men 13.5 - 15,,,,,,,,Superfeet Worldwide LLC,,0,0,0,200,200,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Men 13.5 - 15,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,199,199,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Men 13.5 - 15,,,,,,,,Quiet La Palma Warehouse,,0,0,0,40,40,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Men 15.5 - 17,,,,,,,,Superfeet Worldwide LLC,,0,0,0,200,200,
all-purpose-high-impact-support-3-pack,All-Purpose High Impact Support 3-Pack,Sizes,Men 15.5 - 17,,,,,,,,Quiet Atlanta Warehouse,,0,0,0,200,200,
