"ID","Handle","Command","Title","Is Default","Top Row","Row #","Menu Item: ID","Menu Item: Title","Menu Item: Command","Menu Item: Resource Type","Menu Item: Resource ID","Menu Item: Resource Handle","Menu Item: Collection Tags","Menu Item: URL","Menu Item: Parent ID","Menu Item: Parent Title","Menu Item: Position"
"204443386039","rx-main-menu","MERGE","RX Main Menu","","true","1","","","","","","","","","","",""
"201336717495","footer","MERGE","Footer","true","true","2","477128818871","Search","MERGE","SEARCH","","","","/search","","","1"
"201336717495","footer","MERGE","Footer","true","","3","636510437743","Do not sell or share my personal information","MERGE","PAGE","686463123823","data-sale-opt-out","","/pages/data-sale-opt-out","","","2"
"204212568247","announcement-bar-menu","MERGE","Announcement Bar Menu","","true","4","476490793143","Shop Insoles","MERGE","COLLECTION","636855583087","all-insoles","","/collections/all-insoles","","","1"
"204212568247","announcement-bar-menu","MERGE","Announcement Bar Menu","","","5","476490858679","Healthcare Professionals","MERGE","PAGE","97633108151","healthcare-professionals","","/pages/healthcare-professionals","","","2"
"204463145143","footer-for-businesses","MERGE","Footer - For Businesses","","true","6","477129212087","For Healthcare Professionals","MERGE","PAGE","97633108151","healthcare-professionals","","/pages/healthcare-professionals","","","1"
"204463145143","footer-for-businesses","MERGE","Footer - For Businesses","","","7","728709529967","Become a Retailer","MERGE","HTTP","","","","https://www.cognitoforms.com/SuperfeetWorldwideLLC/USApplyToBeARetailPartner","","","2"
"204463177911","footer-partners","MERGE","Footer - Partners","","true","8","477129310391","Affiliate Program","MERGE","HTTP","","","","https://ui.awin.com/merchant-profile/91403","","","1"
"204463177911","footer-partners","MERGE","Footer - Partners","","","9","477129343159","International Distributors","MERGE","PAGE","686430454127","international-distributors","","/pages/international-distributors","","","2"
"204463079607","footer-support","MERGE","Footer - Support","","true","10","477128851639","FAQ","MERGE","PAGE","97918714039","faqs","","/pages/faqs","","","1"
"204463079607","footer-support","MERGE","Footer - Support","","","11","755104285039","Reviews","MERGE","PAGE","698988626287","reviews","","/pages/reviews","","","2"
"204463079607","footer-support","MERGE","Footer - Support","","","12","477128917175","Start a Return or Exchange","MERGE","PAGE","99324330167","returns-and-exchanges","","/pages/returns-and-exchanges","","","3"
"204463079607","footer-support","MERGE","Footer - Support","","","13","477128949943","60-Day Guarantee","MERGE","PAGE","99320922295","60-day-guarantee","","/pages/60-day-guarantee","","","4"
"204463079607","footer-support","MERGE","Footer - Support","","","14","477128982711","Contact Us","MERGE","PAGE","95306940599","contact","","/pages/contact","","","5"
"204463079607","footer-support","MERGE","Footer - Support","","","15","724942127471","Order Tracking","MERGE","HTTP","","","","https://tracking.superfeet.com/","","","6"
"204546736311","footer-about-rx","MERGE","Footer - About RX","","true","16","477331980471","OTC Orthotics","MERGE","PAGE","97633108151","healthcare-professionals","","/pages/healthcare-professionals","","","1"
"204546736311","footer-about-rx","MERGE","Footer - About RX","","","17","477332046007","Contact Us","MERGE","PAGE","686438711663","contact-us-rx","","/pages/contact-us-rx","","","2"
"204463112375","footer-about","MERGE","Footer - About","","true","18","477129015479","Why Superfeet","MERGE","PAGE","98068365495","why-superfeet","","/pages/why-superfeet","","","1"
"204463112375","footer-about","MERGE","Footer - About","","","19","477129048247","The Science of Superfeet","MERGE","PAGE","686453653871","the-science-of-superfeet","","/pages/the-science-of-superfeet","","","2"
