ID,File Name,Command,Link,Alt Text,Created At,Type,Mime Type,Width,Height,Duration,Status,Errors
gid://shopify/MediaImage/25955879125129,view2_all_purpose_high_impact_support_2500x1875_c83620f9-1838-45fc-a41b-1f35dae07361.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view2_all_purpose_high_impact_support_2500x1875_c83620f9-1838-45fc-a41b-1f35dae07361.webp?v=1723766426,,2024-08-15 20:00:22 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/25955879190665,view4_all_purpose_high_impact_support_2500x1875_e8b6248a-a5a6-4e03-bd50-a2451dd7415e.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view4_all_purpose_high_impact_support_2500x1875_e8b6248a-a5a6-4e03-bd50-a2451dd7415e.webp?v=1723766425,,2024-08-15 20:00:22 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/25955879157897,view3_all_purpose_high_impact_support_2500x1875_64a6c590-dad2-4895-b909-9c3f69a31103.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view3_all_purpose_high_impact_support_2500x1875_64a6c590-dad2-4895-b909-9c3f69a31103.webp?v=1723766425,,2024-08-15 20:00:22 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/25955879256201,view6_all_purpose_high_impact_support_2500x1875_dac7b4c1-98bc-4ab2-8ecf-c4749897b551.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view6_all_purpose_high_impact_support_2500x1875_dac7b4c1-98bc-4ab2-8ecf-c4749897b551.webp?v=1723766425,,2024-08-15 20:00:22 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/25955879223433,view5_all_purpose_high_impact_support_2500x1875_a2933983-d94a-4a9e-b1e0-b9bee7d2430b.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view5_all_purpose_high_impact_support_2500x1875_a2933983-d94a-4a9e-b1e0-b9bee7d2430b.webp?v=1723766425,,2024-08-15 20:00:22 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/25955879092361,view1_all_purpose_high_impact_support_2500x1875_52624956-057b-4719-bf10-7998049f8785.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view1_all_purpose_high_impact_support_2500x1875_52624956-057b-4719-bf10-7998049f8785.webp?v=1723766425,,2024-08-15 20:00:22 -0400,IMAGE,image/webp,700,500,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
gid://shopify/MediaImage/25955879420041,view3_all_purpose_memory_foam_support_2500x1875_a9cd4a65-2df1-4c76-9efa-076d8e71af34.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view3_all_purpose_memory_foam_support_2500x1875_a9cd4a65-2df1-4c76-9efa-076d8e71af34.webp?v=1723766435,,2024-08-15 20:00:32 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/25955879452809,view4_all_purpose_memory_foam_support_2500x1875_7be25dcc-8dae-42ba-8482-29c1ceeef82d.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view4_all_purpose_memory_foam_support_2500x1875_7be25dcc-8dae-42ba-8482-29c1ceeef82d.webp?v=1723766434,,2024-08-15 20:00:32 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/25955879485577,view5_all_purpose_memory_foam_support_2500x1875_801bf90d-6aa3-41bd-933e-add052ce8bc2.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view5_all_purpose_memory_foam_support_2500x1875_801bf90d-6aa3-41bd-933e-add052ce8bc2.webp?v=1723766435,,2024-08-15 20:00:32 -0400,IMAGE,image/webp,700,500,,Ready,
