ID,Handle,Command,Title,Body HTML,Created At,Updated At,Published,Published At,Template Suffix,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: custom.ugc_gallery [metaobject_reference],Metafield: cql.featured_image [file_reference],Metafield: cql.faq_group [metaobject_reference],Metafield: cql.rx_microsite [boolean],Metafield: custom.feature_diagram [metaobject_reference],Metafield: french.page_title [single_line_text_field],Metafield: cql.excerpt [single_line_text_field],Metafield: french.excerpt [single_line_text_field],Metafield: seo.hidden [number_integer],Metafield: custom.password [single_line_text_field]
100423565449,60-day-guarantee,MERGE,60-Day Satisfaction Guarantee,"<p data-mce-fragment=""1"">At Superfeet, we stand behind our products and quality controls. If you are not satisfied with your new Superfeet Premium Insoles purchased from Superfeet Worldwide LLC; Superfeet Canada, ULC; Superfeet Worldwide UK Limited; or one of Superfeet’s authorized sellers in the United States, Canada, or United Kingdom, return them with your receipt within 60 days to your place of purchase for a credit or refund. If you are unable to reach a satisfactory resolution with the seller from whom you purchased the product, please contact Superfeet directly. Please note that because we are unable to control the quality of our products sold by unauthorized sellers, unless otherwise prohibited by law, the Superfeet 60-Day Satisfaction Guarantee is not available for products purchased from unauthorized sellers.</p>
<p data-mce-fragment=""1"">Only valid with purchase. <span data-mce-fragment=""1"">Not valid for misused, abused or improperly cleaned Superfeet products. </span>This guarantee is also limited to the original, end-user purchaser. To the extent you return your product under this guarantee to a retailer, this guarantee is also subject to the retailer’s return policy. You must submit your guarantee request within 60 days of the date of purchase. This guarantee is not valid for discontinued products, or products that have been customized or modified improperly by the Retailer.</p>
<p data-mce-fragment=""1"">To make a claim under the guarantee, please contact the authorized seller from whom you purchased the product. If you are unable to return the product to that seller, please complete the Contact Superfeet at<span data-mce-fragment=""1""> </span><a data-mce-fragment=""1"" href=""https://www.superfeet.com/en-us/contact-us"" tabindex=""0"" data-mce-tabindex=""0"" data-mce-href=""https://www.superfeet.com/en-us/contact-us""><span data-mce-fragment=""1"">https://www.superfeet.com/contact-us</span></a>. Please have order information available if you purchased your product from Superfeet, or receipt or other proof of purchase if you purchased your product from a Superfeet authorized seller.</p>
<p data-mce-fragment=""1"">Superfeet reserves the right to verify information, require that you mail the product for which you are making your guarantee claim to Superfeet, require a valid proof of purchase, and to deny guarantee requests in its discretion in cases of suspected fraud or if a customer has abused the Superfeet 60-Day Satisfaction Guarantee. Please note that you are responsible for the shipping costs of any items you mailed to Superfeet.</p>
<p data-mce-fragment=""1"">If you have any questions regarding whether a seller is a Superfeet authorized seller, please contact us at <span data-mce-fragment=""1""><a data-mce-fragment=""1"" href=""https://www.superfeet.com/en-us/contact-us"" tabindex=""0"" data-mce-tabindex=""0"" data-mce-href=""https://www.superfeet.com/en-us/contact-us"">https://www.superfeet.com/contact-us</a></span><span data-mce-fragment=""1""> </span>or call:</p>
<p data-mce-fragment=""1"">US: (800) 634-6618</p>
<p data-mce-fragment=""1"">Canada: (800) 538-5471</p>",2024-09-27 14:06:40 -0400,2024-11-08 08:44:32 -0500,true,2024-09-16 13:49:38 -0400,,60-Day Guarantee,Superfeet offers a 60-day satisfaction guarantee on Superfeet Premium Insoles. Customers can return orders with a receipt within 60 days for a credit or refund.,,,,,,Garantie de 60 jours,,,,
100423532681,accessibility-policy,MERGE,Accessibility Policy,"<p><em>Updated: September 2020. </em></p>
<p>At Superfeet Worldwide, LLC. our purpose is to make a positive difference in the lives we touch by shaping a strong foundation. We believe every person has the right to live with dignity and independence, in equality and comfort. We strive to deliver inclusive brand experiences by:</p>
<ul>
<li>Putting people first</li>
<li>Honoring consumer privacy</li>
<li>Anticipating consumer needs</li>
<li>Providing equal access to our online environment</li>
</ul>
<p>To reach these goals, Superfeet Worldwide, LLC., is investing in resources to help ensure its website, superfeet.com, is easy to use and accessible for people with disabilities.</p>
<p>Superfeet.com makes frequent efforts to improve the accessibility of its site and services in the belief it is our collective moral obligation to allow accessible and unhindered use to those with disabilities. </p>
<p>Despite our efforts to make all pages and content on superfeet.com fully accessible, some content may not yet be fully adapted to the strictest accessibility standards.</p>
<h2>Here for You</h2>
<p>If you are experiencing difficulty with content on superfeet.com or require assistance with any part of our site, please contact us Monday through Friday, during normal business hours.</p>
<table>
<tbody>
<tr>
<td width=""263"">
<p>Superfeet United States</p>
<p>Call:<span> </span><a href=""tel:123-456-7890"" tabindex=""0"">800.634.6618</a></p>
<p>Email:<span> </span><a href=""mailto:customercare@superfeet.com"" tabindex=""0"">customercare@superfeet.com</a></p>
<p>Hours: Monday - Friday</p>
<p>6:30am - 5pm PST</p>
</td>
<td width=""220"">
<p>Superfeet Canada</p>
<p>Call:<span> </span><a href=""tel:800-538-5471"" tabindex=""0"">(800) 538-5471</a></p>
<p>Email:<span> </span><a href=""mailto:canada@superfeet.com"" tabindex=""0"">canada@superfeet.com</a></p>
<p>Hours: Monday - Friday</p>
<p>7am - 4:30pm PST</p>
</td>
<td width=""261"">
<p>Superfeet UK and Europe</p>
<p>Call:<span> </span><a href=""tel:44-0-1206-266-992"" tabindex=""0"">+44 (0) 1206 266 992</a></p>
<p>Email:<span> </span><a href=""mailto:customercare@superfeet.co.uk"" tabindex=""0"">customercare@superfeet.co.uk</a></p>
<p>Hours: Monday - Friday</p>
<p>9am - 5pm GMT</p>
</td>
</tr>
</tbody>
</table>
<p> </p>
<h2>Contact Us</h2>
<p>If you wish to report an accessibility issue, have any questions or need assistance, please contact superfeet.com Customer Care at: <a href=""https://www.superfeet.com/contact-us"" tabindex=""0"">Superfeet Customer Care and Support</a></p>",2024-09-27 14:06:40 -0400,2024-10-14 11:04:56 -0400,true,2024-09-27 09:58:28 -0400,,Accessibility Policy,Review the online accessiblity policy from Superfeet for more information on how we manage user accessbility. Contact Superfeet to learn more.,,,,,,Politique d'accessibilité,,,,
98045821065,contact,MERGE,Contact Us,"<h2>Got Questions?</h2>

<p>You can also find answers to many common questions on our <a href=""https://superfeet-ca.myshopify.com/pages/faqs"" title=""Link to Superfeet FAQs"">FAQ</a>. If you don't find what you're looking for select and submit one of the forms below and we'll make sure your question gets to the right person.</p>
<p><a title=""Superfeet Return Form"" href=""https://www.cognitoforms.com/SuperfeetWorldwideLLC/CanadaReturnForm"" target=""_blank""><button style=""background: #000; color: #fff;"" class=""button button-primary"">Make a Return</button></a></p>
<p><a title=""Superfeet Exchange Form"" href=""https://www.cognitoforms.com/SuperfeetWorldwideLLC/CanadaExchangeForm"" target=""_blank""><button style=""background: #000; color: #fff;"" class=""button button-primary"">Make an Exchange</button></a></p>
<p><a title=""Superfeet Get a Recommendation Form"" href=""https://www.cognitoforms.com/SuperfeetWorldwideLLC/CanadaAskAQuestionOrGetARecommendation"" target=""_blank""><button style=""background: #000; color: #fff;"" class=""button button-primary"">Ask a Question or Get a Recommendation</button></a></p>
<p><a title=""Superfeet Retail Partner Application Request Form"" href=""https://www.cognitoforms.com/SuperfeetWorldwideLLC/CanadaApplyToBeARetailPartner"" target=""_blank""><button style=""background: #000; color: #fff;"" class=""button button-primary"">Apply to be a Superfeet Retail Partner</button></a></p>",2024-07-10 12:06:55 -0400,2025-09-19 17:02:02 -0400,true,2024-03-21 08:16:46 -0400,,Contact Us,"Contact the footcare experts at Superfeet today for more information on our insoles, supports, and personalized footcare products. Shop Superfeet today!",,,,,,Contactez-nous,,,,
99449045129,store-locator,MERGE,Store Locator,"<br>
<div data-storerocket-id=""wzpAya6pdD"" data-storerocket-env=""p"" style=""width: 100%;"" id=""storerocket-widget"">
<p style=""text-align: center; font-size: 13px; padding: 10px;"">Store locator is loading from StoreRocket <a style=""font-size: 13px;"" href=""https://storerocket.io"" target=""_blank"">Store Locator App</a>..</p>
</div>
<script>(function(){var a=document.createElement('script');a.type='text/javascript';a.async=!0;a.src='https://cdn.storerocket.io/js/widget.js';var b=document.getElementsByTagName('script')[0];b.parentNode.insertBefore(a,b);}());</script>",2024-08-29 10:54:43 -0400,2024-10-14 11:05:02 -0400,true,2024-06-12 13:17:46 -0400,,Store Locator,"Find your local Superfeet dealer today for the best insoles, athletic supports, and custom foot care products possible. Shop Superfeet today!",,67bbcf5a9dff719eb0c3cb30bd5dd278.jpg,,,,Localisateur de magasin,,,,
100423598217,affiliates,MERGE,Affiliates,"<a href=""https://account.shareasale.com/shareasale.cfm?merchantID=92793&amp;storeID=1"" data-mce-fragment=""1"" data-mce-href=""https://account.shareasale.com/shareasale.cfm?merchantID=92793&amp;storeID=1"">ShareASale.com and Superfeet</a>",2024-09-27 14:06:40 -0400,2024-10-24 17:21:08 -0400,true,2024-09-27 10:03:53 -0400,,Affiliates,Learn more about becoming a Superfeet affiliate and supporting foot health for your customers. Contact Superfeet today!,,,,,,Affiliés,,,,
100423630985,become-an-ambassador,MERGE,Become an Ambassador,<p>Need updated content</p>,2024-09-27 14:06:40 -0400,2024-10-14 11:04:55 -0400,true,2024-09-27 10:03:37 -0400,,Become an Ambassador,Learn how to become an ambassador for Superfeet insoles and supports. Contact Superfeet today for more information!,,,,,,Devenez ambassadeur,,,,
100423663753,careers,MERGE,Careers,,2024-09-27 14:06:41 -0400,2025-06-23 21:38:05 -0400,true,2024-09-27 10:06:53 -0400,careers,Careers,"Find information on new openings and positions with Superfeet, the top suppliers of quality custom insoles and footwear supports. Visit Superfeet today!",,,faq_group.hiring-faq,,,Carrières,,,,
100423696521,book-a-demo,MERGE,Book a Demo,"<div><iframe style=""border: 0;"" src=""https://outlook.office365.com/owa/calendar/SuperfeetRxDemo@superfeet.com/bookings/s/GaNWaDWrVkmKEXjLOr-qEw2"" width=""100%"" height=""2275px"" scrolling=""no""><span data-mce-type=""bookmark"" style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" class=""mce_SELRES_start"">﻿</span></iframe></div>
Mobile: 
<div><iframe style=""border: 0;"" src=""https://outlook.office365.com/owa/calendar/SuperfeetRxDemo@superfeet.com/bookings/s/GaNWaDWrVkmKEXjLOr-qEw2"" width=""100%"" height=""2800px"" scrolling=""no""><span data-mce-type=""bookmark"" style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" class=""mce_SELRES_start"">﻿</span></iframe></div>",2024-09-27 14:06:41 -0400,2024-10-14 11:04:56 -0400,true,2024-07-03 13:45:32 -0400,,Book a Demo,Book an in-office demonstration of Superfeet's custom insoles and supports for your business or practice. Contact Superfeet today to learn more!,,,,,,Réservez une démo,,,,
100423729289,ccpa-privacy-policy,MERGE,CCPA Privacy Policy,"<h1 style=""font-weight: 300;"">California Consumer Privacy Act (CCPA) Privacy Policy</h1>
<p>This<span> </span><b><strong>California Privacy Notice</strong></b><span> </span>applies to California residents who use the services provided by Superfeet Worldwide, LLC. a company incorporated in the State of Washington in the United States of America and having its registered office at 1820 Scout Place, Ferndale, WA 98248.<br><br>This California Privacy Notice is intended to supplement the Privacy Policy located<span> </span><a href=""https://www.superfeet.com/en-us/privacy-policy/""><b><strong>here</strong></b></a>. The California Consumer Privacy Act (“CCPA”) provides some California residents (“you” or “your”) with the following rights, including the right to: (i) request information about the personal information we have collected about you; (ii) request information about our sale or disclosure for business purposes of your personal information to third parties; (iii) opt-out of the sale of your personal information to third parties; and (iv) not be discriminated against for exercising any of these rights.<br><br>To exercise your rights under the CCPA, please submit a request via email to<span> </span><a href=""mailto:customercare@superfeet.com."">Superfeet Customer Care</a><span> </span>or our Consumer Data Privacy Rights Form<span> </span><a href=""https://www.superfeet.com/en-us/data-privacy/"">https://www.superfeet.com/data-privacy<span> </span></a>and submitting to us via email.<span> </span><b><strong>IF YOU INTEND TO ONLY REQUEST US TO NOT SELL YOUR PERSONAL INFORMATION WE COLLECT PLEASE USE THIS LINK HERE TO MAKE YOUR REQUEST USING<span> </span><a href=""https://www.superfeet.com/en-us/ccpa-personal-information-request-form/"">THIS FORM</a>.</strong></b><br><br>We will review any request via email or otherwise as provided by us to verify your identity. We reserve the right to additional information to verify your request, such as providing us personal information already maintained by us. We will not use this additional information for anything other than handling your request. You may designate an authorized agent to make a request in certain circumstances on your behalf. Such authorized agent must be registered with the California Secretary of State.<br><br>We will endeavor to fulfill your request within 45 days of receiving that request. If we require additional time, we will inform you of the reason and extension period in writing through email or such other method we may determine.<br><br><b><strong>IMPORTANT NOTICE:<br>As a California resident, California Civil Code Section 1798.83 permits you to make a request, once a year, for information regarding the disclosure of your personal information to third parties for those third parties’ direct marketing purposes. To make this request, please submit a request via email to<span> </span><a href=""mailto:customercare@superfeet.com."">Superfeet Customer Care</a></strong></b>.<br><br></p>
<p><b><strong>CCPA Provides You the Following Privacy Rights</strong></b></p>
<ul>
<li>
<b><strong>Right to Know What Personal Information we collect</strong></b><span> </span>(see table below)<br>You have the right to request that we disclose what personal information we collect, use, disclose and sell. You also have the right to request what personal information we have collected about you, as well as information about our sale or disclosure for business purposes of your personal data to third parties. Once we receive, verify and confirm your consumer request, we will endeavor to disclose to you the information you have requested.</li>
<li>
<b><strong>Right to Know How We Use Personal Information we collect</strong></b><span> </span>(see table below)</li>
<li>
<b><strong>Right to Delete Personal Information we collect</strong></b><br>You have the right to request the deletion of any of your personal information that we have collected from you and retained. Please note that this is a limited right as we may be able to retain certain personal information subject to an exception under the CCPA or another lawful obligation. Once we receive, verify and confirm your request, we will delete (and direct our service providers to delete) your personal information from our records, unless an exception applies.</li>
<li>
<b><strong>Right to Opt-Out of Sale of Personal Information we collect</strong></b><br>You have the right to opt-out of the sale of your personal information to third parties. Under the CCPA, “sell” includes the transfer or communication of personal information to another business in such a way that conveys value to the recipient business, even if that value is not monetary. This means that sharing for a number of common business activities may be considered a “sale” under the CCPA, even if there is no exchange of money. If you would like to opt-out of the sale of your personal information to third parties, please submit a request via email to<span> </span><a href=""mailto:customercare@superfeet.com."">Superfeet Customer Care</a>.<br><b><strong>We do not knowingly sell the personal information of consumers under the age of 16 without affirmative authorization.</strong></b>
</li>
<li>
<b><strong>Right to Non-Discrimination</strong></b><br>You have the right to not be discriminated against for exercising any of your rights under the CCPA.</li>
</ul>
<p>The foregoing rights are explained further in the information below.</p>
<p><b><strong>What is your Personal Information?</strong></b><br>For purposes of this California Privacy Notice, “personal information” means information that identifies, relates to, describes, is reasonably capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular consumer or household.<br><br><b><strong>Information We Collect</strong></b><br>California residents have the right to know the categories of personal information we collect, the purpose for collecting such personal information, and the categories of third parties to whom the personal information was shared for a business purpose or sold.</p>
<table width=""777"">
<tbody>
<tr>
<td>
<p><b><strong>Category of Personal Information</strong></b></p>
</td>
<td>
<p><b><strong>How We Share It</strong></b></p>
</td>
</tr>
<tr>
<td>
<ol>
<li>
<b><strong>Identifiers<span> </span></strong></b>(such as name, alias, postal address, unique personal identifier, online identifier, Internet Protocol address, email address, account name, cookie information or other similar identifiers)</li>
<li>
<b><strong>Personal Information categories listed in the California Customer Records statute Cal. Civ. Code § 1798.80(e)</strong></b><span> </span>(such as name, physical characteristics or description, address, or telephone number)</li>
<li>
<b><strong>Protected classification characteristics under California or federal law</strong></b><span> </span>(such as age, national origin, medical condition, sex, marital status or disability)</li>
<li>
<b><strong>Commercial information</strong></b><span> </span>(such as products or services purchased, obtained or considered, or other purchasing or consuming histories or tendencies)</li>
<li>
<b><strong>Internet or other similar network activity</strong></b><span> </span>(such as browsing history, search history, information on a consumer’s interaction with a website, application or advertisement)</li>
<li>
<b><strong>Geolocation data</strong></b><span> </span>(such as your physical location)</li>
<li>
<b><strong>Inferences drawn from other personal information</strong></b><span> </span>(such as a profile reflecting a person’s preferences, characteristics, psychological trends, predispositions, behavior, and attitudes)</li>
</ol>
</td>
<td>
<p><b><strong>For a legitimate consumer business purpose:</strong></b></p>
<ul>
<li>Within Superfeet Worldwide, LLC. companies including, its affiliated companies Superfeet Worldwide UK Limited and Superfeet Canada, ULC</li>
<li>With service providers who process personal information on our behalf in order to help us provide our services and sale of Superfeet products</li>
<li>With advertisers and advertising networks that require the data to select and serve relevant advertising to you</li>
<li>With public agencies and regulatory authorities in the United States and foreign countries and their subcontractors, for any legally required purpose</li>
<li>With law enforcement agencies, public or regulatory authorities or where such disclosure may be reasonably necessary to comply with any legal obligation, to enforce our rights and to prevent fraud or technical issues with use of the Superfeet website<br><br><b><strong>Selling:</strong></b><span> </span>To selected partners to enable them to better tailor offers, promotions and other direct marketing to you through the Superfeet website or other partner websites</li>
</ul>
</td>
</tr>
</tbody>
</table>
<p><b><strong>Sources for Information We Collect</strong></b></p>
<table width=""777"">
<tbody>
<tr>
<td>
<p><b><strong>Sources of Information</strong></b></p>
</td>
<td>
<ul>
<li>Directly from you or persons authorized by you to act on your behalf;</li>
<li>Collected automatically and indirectly from you;</li>
<li>Within Superfeet Worldwide, LLC. companies including, its affiliated companies Superfeet Worldwide UK Limited and Superfeet Canada, ULC;</li>
<li>From service providers that provide services to you on our behalf; and</li>
<li>From third party sources, such as social media platforms when you interact with our social media channels or analytics providers.</li>
</ul>
</td>
</tr>
</tbody>
</table>
<p><b><strong>Use of Personal Information</strong></b></p>
<table width=""777"">
<tbody>
<tr>
<td>
<p><b><strong>Used for Legitimate Business Purposes which Include:</strong></b></p>
</td>
<td>
<ul>
<li>To provide and improve the manner in which we provide our products and services;</li>
<li>To process and assist you with any transactions related to your purchasing of our products and services, including orders for our products at the Superfeet website;</li>
<li>To maintain your Superfeet website account;</li>
<li>To notify you about changes to our services or other updates;</li>
<li>To administer and improve the Superfeet website;</li>
<li>To respond to your inquiries;</li>
<li>For security and fraud prevention;</li>
<li>For marketing and advertising; and</li>
<li>For statistical analysis</li>
</ul>
</td>
</tr>
</tbody>
</table>",2024-09-27 14:06:41 -0400,2025-09-24 09:24:05 -0400,true,2024-09-27 09:47:52 -0400,,CCPA Privacy Policy,Review the CCPA privacy policy from Superfeet for more information on how we manage user privacy. Contact Superfeet to learn more.,,,,,,Politique de confidentialité du CCPA,,,,
100423762057,cookie-policy,MERGE,Cookie Policy,"<p data-mce-fragment=""1"">This Cookies Policy is issued on behalf of each of the following Superfeet entities. When we use the terms “Superfeet”, ""we"", ""us"" or ""our"" in this Cookies Policy, we are referring to all of the following Superfeet entities:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Superfeet Worldwide, LLC., a company incorporated in the State of Washington in the United States of America and having its registered office at 1820 Scout Place, Ferndale, WA 98248</li>
<li data-mce-fragment=""1"">Superfeet Worldwide UK Limited, a company registered in England and Wales with the company number 07886500, with its registered office at The Pinnacle, 170 Midsummer Boulevard, Central Milton Keynes, Buckinghamshire, MK9 1BP</li>
</ul>
<h2 data-mce-fragment=""1"">Cookie Information</h2>
<ol data-mce-fragment=""1"">
<li data-mce-fragment=""1"">""Cookies"" are small pieces of information that some websites store on your computer's hard drive when you visit them.</li>
<li data-mce-fragment=""1"">We use cookies to provide us with information relating to the sources of our website traffic, and to maintain session integrity as you navigate throughout our websites.</li>
<li data-mce-fragment=""1"">Most Web browsers automatically accept cookies but allow you to modify security settings so you can approve or reject cookies on a case-by-case basis.</li>
<li data-mce-fragment=""1"">Our websites require that cookies be enabled to allow full use of the websites. If you reject cookies from our websites, you will not be able to access the websites or it may hamper the extent of your usage.</li>
</ol>
<h2 data-mce-fragment=""1"">Cookies Used by our Websites</h2>
<p data-mce-fragment=""1"">We use the following types of cookies:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Strictly necessary cookies. These are cookies that are required for the operation of our websites.</li>
<li data-mce-fragment=""1"">Analytical/performance cookies. They allow us to recognize and count the number of visitors and to see how visitors move around our websites when they are using it. This helps us to improve the way our website works, for example, by ensuring that users are finding what they are looking for easily.</li>
<li data-mce-fragment=""1"">Targeting cookies. These cookies record your visit to our websites, the pages you have visited and the links you have followed. We will use this information to make our website and the advertising displayed on it more relevant to your interests.</li>
</ul>
<p data-mce-fragment=""1"">In particular we use:<br data-mce-fragment=""1"">Google Analytics<br data-mce-fragment=""1"">Google Analytics is a web analytics service offered by Google that tracks and reports website traffic. Google uses the data collected to track and monitor the use of our Service. This data is shared with other Google services. Google may use the collected data to contextualize and personalize the ads of its own advertising network. You can opt-out of having made your activity on the Service available to Google Analytics by installing the Google Analytics opt-out browser add-on. The add-on prevents the Google Analytics JavaScript (ga.js, analytics.js and dc.js) from sharing information with Google Analytics about visits activity.</p>
<p data-mce-fragment=""1"">Remarketing<br data-mce-fragment=""1"">We use remarketing services to advertise on third party websites to you after you visited our Service. We and our third-party vendors use cookies to inform, optimize and serve ads based on your past visits to our Service.</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Google Ads (AdWords)<br data-mce-fragment=""1"">Google Ads (AdWords) remarketing service is provided by Google Inc.</li>
<li data-mce-fragment=""1"">Bing Ads Remarketing<br data-mce-fragment=""1"">Bing Ads remarketing service is provided by Microsoft Inc.</li>
<li data-mce-fragment=""1"">Twitter<br data-mce-fragment=""1"">Twitter remarketing service is provided by Twitter Inc.</li>
<li data-mce-fragment=""1"">Facebook remarketing service is provided by Facebook Inc.</li>
<li data-mce-fragment=""1"">Pinterest<br data-mce-fragment=""1"">Pinterest remarketing service is provided by Pinterest Inc.</li>
<li data-mce-fragment=""1"">AdRoll<br data-mce-fragment=""1"">AdRoll remarketing service is provided by Semantic Sugar, Inc.</li>
</ul>
<p data-mce-fragment=""1"">Most Internet browsers allow users to control the acceptance of cookies via the browser’s settings. Visit allaboutcookies.org to find out how to configure these settings on a number of major browsers.</p>
<p data-mce-fragment=""1"">Changes to this Cookie Policy<br data-mce-fragment=""1"">We keep our Cookie Policy under regular review. This Cookie Policy was last updated in November 2019.</p>",2024-09-27 14:06:42 -0400,2025-09-24 09:48:47 -0400,true,2024-09-27 09:49:22 -0400,,Cookie Policy,Review the cookie policy from Superfeet for more information on how we manage cookies and browser data. Contact Superfeet to learn more.,,,,,,Politique en matière de cookies,,,,
