ID,File Name,Command,Link,Alt Text,Created At,Type,Mime Type,Width,Height,Duration,Status,Errors
gid://shopify/MediaImage/28344720982198,adapt_hike-max_online_merch_assets-02_graphic_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_hike-max_online_merch_assets-02_graphic_1.webp?v=1723766544,,2024-08-15 20:02:21 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344721047734,adapt_hike-max_online_merch_assets-04_graphic_1_1_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_hike-max_online_merch_assets-04_graphic_1_1_1.webp?v=1723766544,,2024-08-15 20:02:21 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344721014966,adapt_hike-max_online_merch_assets-03_graphic_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_hike-max_online_merch_assets-03_graphic_1.webp?v=1723766544,,2024-08-15 20:02:21 -0400,IMAGE,image/webp,700,500,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
gid://shopify/MediaImage/28344720949430,adapt_hike-max_online_merch_assets-01_graphic_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_hike-max_online_merch_assets-01_graphic_1.webp?v=1723766543,,2024-08-15 20:02:21 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344721244342,adapt_run_online_merch_assets-02_graphic_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_run_online_merch_assets-02_graphic_1.webp?v=1723766553,,2024-08-15 20:02:31 -0400,IMAGE,image/webp,700,500,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
gid://shopify/MediaImage/28344721768630,adapt_run_max_online_merch_assets-01_graphic.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_run_max_online_merch_assets-01_graphic.webp?v=1723766560,,2024-08-15 20:02:38 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344721801398,adapt_run_max_online_merch_assets-02_graphic.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_run_max_online_merch_assets-02_graphic.webp?v=1723766560,,2024-08-15 20:02:38 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344721834166,adapt_run_max_online_merch_assets-03_graphic.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_run_max_online_merch_assets-03_graphic.webp?v=1723766560,,2024-08-15 20:02:38 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344721866934,adapt_run_max_online_merch_assets-04_graphic.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_run_max_online_merch_assets-04_graphic.webp?v=1723766560,,2024-08-15 20:02:38 -0400,IMAGE,image/webp,700,500,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
gid://shopify/MediaImage/28344722227382,sfcom_imagestack_active_2500x2500_view-1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/sfcom_imagestack_active_2500x2500_view-1.webp?v=1723766579,,2024-08-15 20:02:45 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344722260150,view2_run_cushion_high_arch_2500x1875_1_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view2_run_cushion_high_arch_2500x1875_1_1.webp?v=1723766567,,2024-08-15 20:02:45 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344722292918,view3_run_cushion_high_arch_2500x1875_1_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view3_run_cushion_high_arch_2500x1875_1_1.webp?v=1723766568,,2024-08-15 20:02:45 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344722325686,view4_run_cushion_high_arch_2500x1875_1_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view4_run_cushion_high_arch_2500x1875_1_1.webp?v=1723766567,,2024-08-15 20:02:45 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344722358454,view5_run_cushion_high_arch_2500x1875_1_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view5_run_cushion_high_arch_2500x1875_1_1.webp?v=1723766568,,2024-08-15 20:02:45 -0400,IMAGE,image/webp,700,500,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
gid://shopify/MediaImage/28344722751670,sfcom_imagestack_active_2500x2500_view-13.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/sfcom_imagestack_active_2500x2500_view-13.webp?v=1723766587,,2024-08-15 20:03:04 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344722784438,view4_run_cushion_low_arch_2500x1875_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view4_run_cushion_low_arch_2500x1875_1.webp?v=1723766587,,2024-08-15 20:03:04 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344722817206,view2_run_cushion_low_arch_2500x1875_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view2_run_cushion_low_arch_2500x1875_1.webp?v=1723766587,,2024-08-15 20:03:04 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344722849974,view3_run_cushion_low_arch_2500x1875_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view3_run_cushion_low_arch_2500x1875_1.webp?v=1723766587,,2024-08-15 20:03:04 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344722882742,view5_run_cushion_low_arch_2500x1875_1.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view5_run_cushion_low_arch_2500x1875_1.webp?v=1723766586,,2024-08-15 20:03:04 -0400,IMAGE,image/webp,700,500,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
gid://shopify/MediaImage/28344722981046,sfcom_imagestack_active_2500x2500_view-7_2.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/sfcom_imagestack_active_2500x2500_view-7_2.webp?v=1723766595,,2024-08-15 20:03:12 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344723013814,view2_active_cushion_medium_arch_2500x1875_85858bb9-ac8f-4cc6-8864-8fa194d56226.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view2_active_cushion_medium_arch_2500x1875_85858bb9-ac8f-4cc6-8864-8fa194d56226.webp?v=1723766594,,2024-08-15 20:03:12 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344723046582,view3_active_cushion_medium_arch_2500x1875_56ff9035-7ef6-46df-bffe-53359dd852d0.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view3_active_cushion_medium_arch_2500x1875_56ff9035-7ef6-46df-bffe-53359dd852d0.webp?v=1723766594,,2024-08-15 20:03:12 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344723079350,view4_active_cushion_medium_arch_2500x1875_9ac86384-cdf2-434c-9a59-e07a615a4fe3.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view4_active_cushion_medium_arch_2500x1875_9ac86384-cdf2-434c-9a59-e07a615a4fe3.webp?v=1723766594,,2024-08-15 20:03:12 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/28344723112118,view5_active_cushion_medium_arch_2500x1875_b02dea7a-1e19-4ae6-9e38-c1c8e2d42e52.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view5_active_cushion_medium_arch_2500x1875_b02dea7a-1e19-4ae6-9e38-c1c8e2d42e52.webp?v=1723766594,,2024-08-15 20:03:12 -0400,IMAGE,image/webp,700,500,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
,,MERGE,,,,FILE,,,,,Ready,
gid://shopify/MediaImage/28344723407030,view_1_active_support_high_arch.webp,MERGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/view_1_active_support_high_arch.webp?v=1723766603,Pairs view of Superfeet Active Support High Arch Insoles with +Added Stability for comfort in every step ,2024-08-15 20:03:21 -0400,IMAGE,image/webp,700,500,,Ready,
