ID,Handle,Command,Title,Is Default,Top Row,Row #,Menu Item: ID,Menu Item: Title,Menu Item: Command,Menu Item: Resource Type,Menu Item: Resource ID,Menu Item: Resource Handle,Menu Item: Collection Tags,Menu Item: URL,Menu Item: Parent ID,Menu Item: Parent Title,Menu Item: Position
205570179254,footer,MERGE,Footer,true,true,1,480863223990,Search,MERGE,SEARCH,,,,/search,,,1
211942768822,customer-account-main-menu,MERGE,Customer account main menu,true,true,2,508846866614,Shop,MERGE,FRONTPAGE,,,,/,,,1
211942768822,customer-account-main-menu,MERGE,Customer account main menu,true,,3,501882126518,Orders,MERGE,CUSTOMER_ACCOUNT_PAGE,47363489974,orders,,https://shopify.com/65667793078/account/orders,,,2
212904378550,announcement-bar-menu,MERGE,Announcement Bar Menu,,true,4,491065540790,Shop Insoles,MERGE,COLLECTION,335745581238,all-insoles,,/collections/all-insoles,,,1
212904378550,announcement-bar-menu,MERGE,Announcement Bar Menu,,,5,491065573558,Healthcare Professionals,MERGE,PAGE,100751900854,healthcare-professionals,,/pages/healthcare-professionals,,,2
212904542390,footer-about-rx,MERGE,Footer - About RX,,true,6,491066032310,OTC Programs,MERGE,PAGE,100751900854,healthcare-professionals,,/pages/healthcare-professionals,,,1
212904542390,footer-about-rx,MERGE,Footer - About RX,,,7,491066065078,Contact Us,MERGE,PAGE,101267701942,contact-us-rx,,/pages/contact-us-rx,,,2
212904607926,footer-for-businesses,MERGE,Footer - For Businesses,,true,8,491066359990,For Healthcare Professionals,MERGE,PAGE,100751900854,healthcare-professionals,,/pages/healthcare-professionals,,,1
212904607926,footer-for-businesses,MERGE,Footer - For Businesses,,,9,529042014390,Become a Retailer,MERGE,HTTP,,,,https://www.cognitoforms.com/superfeetworldwidellc/ukapplytobearetailpartner,,,2
212904771766,footer-partners,MERGE,Footer - Partners,,true,10,510360453302,Affiliate Program,MERGE,HTTP,,,,https://account.shareasale.com/shareasale.cfm?merchantID=92793&storeID=1,,,1
212904771766,footer-partners,MERGE,Footer - Partners,,,11,491066720438,International Distributors,MERGE,PAGE,100751933622,international-distributors,,/pages/international-distributors,,,2
212904411318,footer-about,MERGE,Footer - About,,true,12,491065606326,Why Superfeet,MERGE,PAGE,100752392374,why-superfeet,,/pages/why-superfeet,,,1
212904411318,footer-about,MERGE,Footer - About,,,13,491065639094,The Science of Superfeet,MERGE,PAGE,101058445494,the-science-of-superfeet,,/pages/the-science-of-superfeet,,,2
212904411318,footer-about,MERGE,Footer - About,,,14,491065671862,Sustainability,MERGE,PAGE,101058412726,sustainability,,/pages/sustainability,,,3
212904411318,footer-about,MERGE,Footer - About,,,15,491065704630,Giving Back,MERGE,PAGE,101058478262,our-giving,,/pages/our-giving,,,4
212904411318,footer-about,MERGE,Footer - About,,,16,491065737398,Find a Retailer,MERGE,PAGE,100752162998,store-locator,,/pages/store-locator,,,5
212904411318,footer-about,MERGE,Footer - About,,,17,533019001014,Careers,MERGE,PAGE,100751704246,careers,,/pages/careers,,,6
212904804534,footer-support,MERGE,Footer - Support,,true,18,491066753206,FAQ,MERGE,PAGE,100751868086,faqs,,/pages/faqs,,,1
212904804534,footer-support,MERGE,Footer - Support,,,19,491066785974,Return Policy,MERGE,PAGE,100752097462,returns-and-exchanges,,/pages/returns-and-exchanges,,,2
212904804534,footer-support,MERGE,Footer - Support,,,20,491066818742,Start a Return,MERGE,PAGE,100752097462,returns-and-exchanges,,/pages/returns-and-exchanges,,,3
212904804534,footer-support,MERGE,Footer - Support,,,21,491066851510,60-Day Guarantee,MERGE,PAGE,100751605942,60-day-guarantee,,/pages/60-day-guarantee,,,4
212904804534,footer-support,MERGE,Footer - Support,,,22,491066884278,Contact Us,MERGE,PAGE,98932523190,contact,,/pages/contact,,,5
212904804534,footer-support,MERGE,Footer - Support,,,23,532362625206,Order Tracking,MERGE,HTTP,,,,https://tracking.superfeet.co.uk/,,,6
212905001142,rx-main-menu,MERGE,RX Main Menu,,true,24,,,,,,,,,,,
212905132214,rx-main-menu-mobile,MERGE,RX Main Menu - Mobile,,true,25,,,,,,,,,,,
212905263286,rx-utility-menu-mobile,MERGE,RX Utility Menu- Mobile,,true,26,491068096694,Account,MERGE,PAGE,98932523190,contact,,/pages/contact,,,1
212905263286,rx-utility-menu-mobile,MERGE,RX Utility Menu- Mobile,,,27,491068129462,Shop Superfeet,MERGE,FRONTPAGE,,,,/,,,2
212905296054,utility-menu-mobile,MERGE,Utility Menu- Mobile,,true,28,491068162230,Account,MERGE,HTTP,,,,/account,,,1
212905296054,utility-menu-mobile,MERGE,Utility Menu- Mobile,,,29,491068194998,Help,MERGE,PAGE,100751868086,faqs,,/pages/faqs,,,2
212905296054,utility-menu-mobile,MERGE,Utility Menu- Mobile,,,30,491068227766,Find a Retailer,MERGE,PAGE,100752162998,store-locator,,/pages/store-locator,,,3
212905296054,utility-menu-mobile,MERGE,Utility Menu- Mobile,,,31,491068260534,Healthcare Professionals,MERGE,PAGE,100751900854,healthcare-professionals,,/pages/healthcare-professionals,,,4
212904575158,footer-copyright,MERGE,Footer - Copyright,,true,32,491066130614,Privacy Policy,MERGE,PAGE,100752064694,privacy-policy,,/pages/privacy-policy,,,1
212904575158,footer-copyright,MERGE,Footer - Copyright,,,33,491066163382,CCPA Privacy Policy,MERGE,PAGE,100751638710,ccpa-privacy-policy,,/pages/ccpa-privacy-policy,,,2
212904575158,footer-copyright,MERGE,Footer - Copyright,,,34,491066196150,Cookie Policy,MERGE,PAGE,100751802550,cookie-policy,,/pages/cookie-policy,,,3
212904575158,footer-copyright,MERGE,Footer - Copyright,,,35,491066228918,Accessibility Policy,MERGE,PAGE,100751573174,accessibility-policy,,/pages/accessibility-policy,,,4
212904575158,footer-copyright,MERGE,Footer - Copyright,,,36,491066261686,Terms of Use,MERGE,PAGE,100752359606,terms-of-use,,/pages/terms-of-use,,,5
212904575158,footer-copyright,MERGE,Footer - Copyright,,,37,491066294454,Disclaimer of Warranty,MERGE,PAGE,100751737014,disclaimer-of-warranty,,/pages/disclaimer-of-warranty,,,6
212904575158,footer-copyright,MERGE,Footer - Copyright,,,38,491066327222,UK Shipping Policy,MERGE,PAGE,100752326838,u-k-shipping-policy,,/pages/u-k-shipping-policy,,,7
212904575158,footer-copyright,MERGE,Footer - Copyright,,,39,522195435702,Manufacturing Code of Conduct,MERGE,PAGE,104438792374,manufacturing-code-of-conduct,,/pages/manufacturing-code-of-conduct,,,8
212904968374,main-menu-mobile,MERGE,Main Menu - Mobile,,true,40,491067244726,Shop All,MERGE,COLLECTION,335745581238,all-insoles,,/collections/all-insoles,,,1
212904968374,main-menu-mobile,MERGE,Main Menu - Mobile,,,41,539229585590,Bundles,MERGE,COLLECTION,367374008502,bundles,,/collections/bundles,,,2
212904968374,main-menu-mobile,MERGE,Main Menu - Mobile,,,42,491067277494,Best Sellers,MERGE,COLLECTION,335745515702,best-sellers,,/collections/best-sellers,,,3
212904968374,main-menu-mobile,MERGE,Main Menu - Mobile,,,43,491067310262,By Activity,MERGE,CATALOG,,,,/collections/all,,,4
212904968374,main-menu-mobile,MERGE,Main Menu - Mobile,,,44,491127406774,Running,MERGE,COLLECTION,335745646774,running,,/collections/running,491067310262,By Activity,1
212904968374,main-menu-mobile,MERGE,Main Menu - Mobile,,,45,491127439542,Hiking,MERGE,COLLECTION,335745843382,hiking,,/collections/hiking,491067310262,By Activity,2
