ID,Handle,Command,Display Name,Status,Updated At,Definition: Handle,Definition: Name,Top Row,Row #,Field,Value
83113869494,running-ugc,MERGE,Running UGC,Active,2024-10-29 14:09:41 -0400,ugc_galleries,UGC Galleries,true,1,name,Running UGC
83113869494,running-ugc,MERGE,Running UGC,Active,2024-10-29 14:09:41 -0400,ugc_galleries,UGC Galleries,,2,code_snippet,"<div
	class=""yotpo yotpo-pictures-widget""
	data-gallery-id=""670ecc3792abacd761deadcf"">
</div>"
83113902262,me-3-d-gallery,MERGE,ME3D UGC,Active,2024-09-27 14:03:09 -0400,ugc_galleries,UGC Galleries,true,3,name,ME3D UGC
83113902262,me-3-d-gallery,MERGE,ME3D UGC,Active,2024-09-27 14:03:09 -0400,ugc_galleries,UGC Galleries,,4,code_snippet,"<div
    class=""yotpo yotpo-pictures-widget""
    data-gallery-id=""66cc8cad48237632f0e20a9c"">
</div>"
83112493238,evolyte-features,MERGE,Evolyte Features,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,true,5,name,Evolyte Features
83112493238,evolyte-features,MERGE,Evolyte Features,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,6,main_image,RW3347_Run_Dynamic_Cushion_Low_Arch_Insole_Image_View_1_Pair_V02_no_shadow.png
83112493238,evolyte-features,MERGE,Evolyte Features,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,7,eyebrow,PERFORMANCE TECH
83112493238,evolyte-features,MERGE,Evolyte Features,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,8,headline,ENGINEERED FOR LONG-LASTING SUPPORT
83112493238,evolyte-features,MERGE,Evolyte Features,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,9,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet insoles are clinically proven to decrease fatigue, reduce injury, and improve comfort""}]}]}"
83112493238,evolyte-features,MERGE,Evolyte Features,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,10,product_feature_1,product_features.evolyte
83112493238,evolyte-features,MERGE,Evolyte Features,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,11,product_feature_2,product_features.second-lightweight-aluminum-frame
83112493238,evolyte-features,MERGE,Evolyte Features,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,12,product_feature_3,product_features.third-lightweight-aluminum-frame
83112493238,evolyte-features,MERGE,Evolyte Features,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,13,product_feature_4,product_features.fourth-lightweight-aluminum-frame
83112493238,evolyte-features,MERGE,Evolyte Features,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,14,product_features_list,"product_features.evolyte, product_features.second-lightweight-aluminum-frame, product_features.third-lightweight-aluminum-frame, product_features.fourth-lightweight-aluminum-frame"
83112558774,hiking,MERGE,Hiking,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,true,15,name,Hiking
83112558774,hiking,MERGE,Hiking,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,16,main_image,t2-plp-tech-hike.webp
83112558774,hiking,MERGE,Hiking,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,17,eyebrow,Performance Tech
83112558774,hiking,MERGE,Hiking,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,18,headline,Engineered For Hiking
83112558774,hiking,MERGE,Hiking,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,19,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet insoles deliver biomechanically shaped support that fights fatigue so you can adventure further""}]}]}"
83112558774,hiking,MERGE,Hiking,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,20,product_feature_1,product_features.premium-cushioning-hiking
83112558774,hiking,MERGE,Hiking,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,21,product_feature_2,product_features.second-lightweight-aluminum-frame
83112558774,hiking,MERGE,Hiking,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,22,product_feature_3,product_features.moisture-wick
83112558774,hiking,MERGE,Hiking,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,23,product_feature_4,product_features.third-lightweight-aluminum-frame
83112558774,hiking,MERGE,Hiking,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,24,product_features_list,"product_features.premium-cushioning-hiking, product_features.second-lightweight-aluminum-frame, product_features.third-lightweight-aluminum-frame, product_features.moisture-wick"
83112526006,running,MERGE,Running,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,true,25,name,Running
83112526006,running,MERGE,Running,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,26,main_image,t2-plp-tech-running.webp
83112526006,running,MERGE,Running,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,27,eyebrow,Performance Tech
83112526006,running,MERGE,Running,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,28,headline,Engineered For Running
83112526006,running,MERGE,Running,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,29,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet insoles deliver biomechanically shaped support so you can train stronger and recover quicker""}]}]}"
83112526006,running,MERGE,Running,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,30,product_feature_1,product_features.fourth-lightweight-aluminum-frame
83112526006,running,MERGE,Running,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,31,product_feature_2,product_features.second-lightweight-aluminum-frame
83112526006,running,MERGE,Running,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,32,product_feature_3,product_features.moisture-wick
83112526006,running,MERGE,Running,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,33,product_feature_4,product_features.third-lightweight-aluminum-frame
83112526006,running,MERGE,Running,Active,2024-09-27 14:02:53 -0400,product_feature_groups,Product Feature Groups,,34,product_features_list,"product_features.fourth-lightweight-aluminum-frame, product_features.second-lightweight-aluminum-frame, product_features.moisture-wick, product_features.third-lightweight-aluminum-frame"
83112591542,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 12:07:25 -0400,product_feature_groups,Product Feature Groups,true,35,name,Hockey & Skates
83112591542,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 12:07:25 -0400,product_feature_groups,Product Feature Groups,,36,main_image,t2-plp-tech-hockey.webp
83112591542,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 12:07:25 -0400,product_feature_groups,Product Feature Groups,,37,eyebrow,Performance Tech
83112591542,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 12:07:25 -0400,product_feature_groups,Product Feature Groups,,38,headline,Engineered For Hockey
83112591542,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 12:07:25 -0400,product_feature_groups,Product Feature Groups,,39,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet Hockey insoles optimize the fit of your skates for quick starts, tight turns and seamless energy transfer to the ice""}]}]}"
83112591542,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 12:07:25 -0400,product_feature_groups,Product Feature Groups,,40,product_feature_1,product_features.premium-cushioning-hockey
83112591542,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 12:07:25 -0400,product_feature_groups,Product Feature Groups,,41,product_feature_2,product_features.arch-support-hocky
83112591542,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 12:07:25 -0400,product_feature_groups,Product Feature Groups,,42,product_feature_3,product_features.moisturewick-hockey
