ID,Handle,Command,Title,Body HTML,Vendor,Type,Tags,Tags Command,Created At,Updated At,Status,Published,Published At,Published Scope,Template Suffix,Gift Card,URL,Total Inventory Qty,Row #,Top Row,Category: ID,Category: Name,Category,Custom Collections,Smart Collections,Image Type,Image Src,Image Command,Image Position,Image Width,Image Height,Image Alt Text,Variant Inventory Item ID,Variant ID,Variant Command,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Position,Variant SKU,Variant Barcode,Variant Image,Variant Weight,Variant Weight Unit,Variant Price,Variant Compare At Price,Variant Taxable,Variant Tax Code,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Shipping Profile,Variant Inventory Qty,Variant Inventory Adjust,Variant Cost,Variant HS Code,Variant Country of Origin,Variant Province of Origin,Inventory Available: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory Available Adjust: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory On Hand: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory On Hand Adjust: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory Committed: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory Reserved: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory Damaged: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory Damaged Adjust: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory Safety Stock: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory Safety Stock Adjust: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory Quality Control: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory Quality Control Adjust: Superfeet Expeditors Kammac Wavertree - Space 170,Inventory Incoming: Superfeet Expeditors Kammac Wavertree - Space 170,Included / AU,Price / AU,Compare At Price / AU,Included / EU,Price / EU,Compare At Price / EU,Included / UK,Price / UK,Compare At Price / UK,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: cql.arch_height [single_line_text_field],Metafield: cql.fits_best_in [single_line_text_field],Metafield: cql.insole_heel_cup_depth [single_line_text_field],Metafield: cql.insole_technology [single_line_text_field],Metafield: cql.insole_thickness [single_line_text_field],Metafield: cql.latex_free [boolean],Metafield: cql.vegan [boolean],Metafield: cql.previously_named [single_line_text_field],Metafield: cql.product_family [single_line_text_field],Metafield: cql.product_gender [single_line_text_field],Metafield: cql.shop_for [single_line_text_field],Metafield: cql.skate_sizes [single_line_text_field],Metafield: cql.target_use_activity [single_line_text_field],Metafield: cql.underfoot_cushioning [single_line_text_field],Metafield: cql.low_stock_threshold [number_integer],Metafield: cql.badge [single_line_text_field],Metafield: cql.women_sizes [single_line_text_field],Metafield: cql.kid_sizes [single_line_text_field],Metafield: cql.men_sizes [single_line_text_field],Metafield: cql.comparison_products [list.product_reference],Metafield: mm-google-shopping.custom_product [boolean],Metafield: cql.best_for [single_line_text_field],Metafield: cql.image_with_feature [file_reference],Metafield: cql.cushion_info [metaobject_reference],Metafield: cql.thickness_info [metaobject_reference],Metafield: cql.arch_height_info [metaobject_reference],Metafield: cql.faq_group [metaobject_reference],Metafield: cql.market [list.single_line_text_field],Metafield: cql.discount_summary [single_line_text_field],Metafield: cql.short_description [multi_line_text_field],Metafield: cql.bundle_type [single_line_text_field],Metafield: custom.insole_finder_header_text [single_line_text_field],Metafield: custom.feature_diagram [metaobject_reference],Metafield: seo.hidden [number_integer],Variant Metafield: mm-google-shopping.custom_label_4 [single_line_text_field],Variant Metafield: mm-google-shopping.custom_label_3 [single_line_text_field],Variant Metafield: mm-google-shopping.custom_label_2 [single_line_text_field],Variant Metafield: mm-google-shopping.custom_label_1 [single_line_text_field],Variant Metafield: mm-google-shopping.custom_label_0 [single_line_text_field],Variant Metafield: mm-google-shopping.size_system [single_line_text_field],Variant Metafield: mm-google-shopping.size_type [single_line_text_field],Variant Metafield: mm-google-shopping.mpn [single_line_text_field],Variant Metafield: mm-google-shopping.gender [single_line_text_field],Variant Metafield: mm-google-shopping.condition [single_line_text_field],Variant Metafield: mm-google-shopping.age_group [single_line_text_field],Metafield: seo_title [single_line_text_field],Metafield: seo_desc [single_line_text_field],Metafield: yotpo.reviews_average [single_line_text_field],Metafield: yotpo.reviews_count [single_line_text_field],Metafield: cql.display_for_eu [boolean],Metafield: rc_bundles.layout_template [single_line_text_field]
8047971467446,adapt-run-max,MERGE,ADAPT Run Max,"<p><span style=""font-weight: 400;"">More shape = maximum comfort. Meet Superfeet ADAPT Run Max Insoles — signature Superfeet shape in soft insoles designed to flex and adapt to the natural motion of your feet.  With a deeper heel cup and higher arch profile than Superfeet ADAPT Run, these cushioned insoles help disperse impact from the ground to minimize the stress and strain that can lead to conditions like plantar fasciitis.  Cushioned running insoles have never felt this good.  Trim to fit your shoe size.</span></p>
<p><span style=""font-weight: 400;"">YOUR PURCHASE MAKES A DIFFERENCE</span><span style=""font-weight: 400;""><br></span><span style=""font-weight: 400;"">Every year, Superfeet donates 1% of sales and 1,000+ volunteer hours to organizations working to shape a healthy future.</span></p>",Superfeet,Insole,"ALL INSOLES, INSOLES, RUNNING, SHOP, SHOP INSOLES",REPLACE,2024-08-15 20:02:36 -0400,2025-09-18 17:35:18 -0400,Archived,false,,web,,false,https://www.superfeet.co.uk/products/adapt-run-max,0,1,true,hb-3-9-4,Insoles & Inserts,Health & Beauty > Personal Care > Foot Care > Insoles & Inserts,,"all-insoles, running, walking, all",IMAGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_run_max_online_merch_assets-01_graphic.webp?v=1723766560,MERGE,1,700,500,,45488133177526,43402012197046,MERGE,Size,UK 2 - 3.5 (B),,,,,1,FL335004,086301823272,,0.26,lb,33.33,,true,,shopify,deny,manual,true,General Profile,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,,true,,,true,,,ADAPT Run Max Insoles,"Buy the ADAPT Run Max Insoles and more pain relieving, fatigue fighting footwear inserts from Superfeet. Shop Superfeet today!",High,Roomy to moderate fitting RUNNING and WALKING footwear with removable insoles,Max,A.C.T. (Adaptive Comfort Technology),Max,true,true,ADAPT Run Max,ADAPT,Unisex,,,Running/Walking,Soft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAPT RUN MAX Cushioned Running Insoles | Superfeet,Meet Superfeet ADAPT Run Max Insoles ??? signature Superfeet shape in soft insoles designed to flex and adapt to the natural motion of your feet.,0,0,,
8047971467446,adapt-run-max,MERGE,ADAPT Run Max,,Superfeet,Insole,"ALL INSOLES, INSOLES, RUNNING, SHOP, SHOP INSOLES",REPLACE,2024-08-15 20:02:36 -0400,2025-09-18 17:35:18 -0400,Archived,false,,web,,false,https://www.superfeet.co.uk/products/adapt-run-max,0,2,,hb-3-9-4,Insoles & Inserts,Health & Beauty > Personal Care > Foot Care > Insoles & Inserts,,"all-insoles, running, walking, all",IMAGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_run_max_online_merch_assets-02_graphic.webp?v=1723766560,MERGE,2,700,500,,45488133210294,43402012229814,MERGE,Size,UK 4 - 5.5 (C),,,,,2,FL335006,086301823289,,0.29,lb,33.33,,true,,shopify,deny,manual,true,General Profile,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047971467446,adapt-run-max,MERGE,ADAPT Run Max,,Superfeet,Insole,"ALL INSOLES, INSOLES, RUNNING, SHOP, SHOP INSOLES",REPLACE,2024-08-15 20:02:36 -0400,2025-09-18 17:35:18 -0400,Archived,false,,web,,false,https://www.superfeet.co.uk/products/adapt-run-max,0,3,,hb-3-9-4,Insoles & Inserts,Health & Beauty > Personal Care > Foot Care > Insoles & Inserts,,"all-insoles, running, walking, all",IMAGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_run_max_online_merch_assets-03_graphic.webp?v=1723766560,MERGE,3,700,500,,45488133243062,43402012262582,MERGE,Size,UK 6 - 7.5 (D),,,,,3,FL335008,086301823296,,0.31,lb,33.33,,true,,shopify,deny,manual,true,General Profile,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047971467446,adapt-run-max,MERGE,ADAPT Run Max,,Superfeet,Insole,"ALL INSOLES, INSOLES, RUNNING, SHOP, SHOP INSOLES",REPLACE,2024-08-15 20:02:36 -0400,2025-09-18 17:35:18 -0400,Archived,false,,web,,false,https://www.superfeet.co.uk/products/adapt-run-max,0,4,,hb-3-9-4,Insoles & Inserts,Health & Beauty > Personal Care > Foot Care > Insoles & Inserts,,"all-insoles, running, walking, all",IMAGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_run_max_online_merch_assets-04_graphic.webp?v=1723766560,MERGE,4,700,500,,45488133275830,43402012295350,MERGE,Size,UK 8 - 9.5 (E),,,,,4,FL335010,086301823302,,0.33,lb,33.33,,true,,shopify,deny,manual,true,General Profile,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047971467446,adapt-run-max,MERGE,ADAPT Run Max,,Superfeet,Insole,"ALL INSOLES, INSOLES, RUNNING, SHOP, SHOP INSOLES",REPLACE,2024-08-15 20:02:36 -0400,2025-09-18 17:35:18 -0400,Archived,false,,web,,false,https://www.superfeet.co.uk/products/adapt-run-max,0,5,,hb-3-9-4,Insoles & Inserts,Health & Beauty > Personal Care > Foot Care > Insoles & Inserts,,"all-insoles, running, walking, all",EXTERNAL_VIDEO,https://player.vimeo.com/video/578652231,MERGE,5,,,Superfeet ADAPT Run Max Insoles,45488133308598,43402012328118,MERGE,Size,UK 10 - 11.5 (F),,,,,5,FL335012,086301823319,,0.37,lb,33.33,,true,,shopify,deny,manual,true,General Profile,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047971467446,adapt-run-max,MERGE,ADAPT Run Max,,Superfeet,Insole,"ALL INSOLES, INSOLES, RUNNING, SHOP, SHOP INSOLES",REPLACE,2024-08-15 20:02:36 -0400,2025-09-18 17:35:18 -0400,Archived,false,,web,,false,https://www.superfeet.co.uk/products/adapt-run-max,0,6,,hb-3-9-4,Insoles & Inserts,Health & Beauty > Personal Care > Foot Care > Insoles & Inserts,,"all-insoles, running, walking, all",EXTERNAL_VIDEO,https://player.vimeo.com/video/269057058,MERGE,6,,,Superfeet How to Trim Insoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047971303606,adapt-hike-max,MERGE,ADAPT Hike Max,"<p>When your shoes and insoles work together, hours in the outdoors can feel like minutes. New Superfeet ADAPT Hike Max Insoles feel like they are part of your footwear, with flexible, cushioned support to keep you moving comfortably all day. Designed with patented Adaptive Comfort Technology™, these comfortable orthotics for hiking flex and adapt to your foot's natural motion. Leave sore, tired feet behind and transform your outdoor adventures. Trim to fit your shoe size.  <a title=""Superfeet ADAPT Hike Max Insoles are the winner of the 2022 Men's Health Outdoor Award for Best Insoles"" href=""https://www.menshealth.com/technology-gear/a40543430/mens-health-outdoor-awards-2022/"" target=""_blank"" rel=""noopener"">Winner of the 2022 Men's Health Outdoor Award for Best Insoles</a>.</p>
<p>YOUR PURCHASE MAKES A DIFFERENCE<br>Every year, Superfeet donates 1% of sales and 1,000+ volunteer hours to organizations working to shape a healthy future.</p>",Superfeet,Insole,"ALL INSOLES, HIKING, INSOLES, MEN'S, SHOP, SHOP INSOLES, UNISEX, WOMEN'S",REPLACE,2024-08-15 20:02:19 -0400,2025-09-18 17:35:18 -0400,Archived,false,,web,,false,https://www.superfeet.co.uk/products/adapt-hike-max,0,7,true,hb-3-9-4,Insoles & Inserts,Health & Beauty > Personal Care > Foot Care > Insoles & Inserts,frontpage,"unisex, mens, womens, all-insoles, hiking, all",IMAGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_hike-max_online_merch_assets-01_graphic_1.webp?v=1723766543,MERGE,1,700,500,,45488132161718,43402011181238,MERGE,Size,UK 2 - 3.5 (B),,,,,1,FL336004,086301823494,,0.26,lb,33.33,,true,,shopify,deny,manual,true,General Profile,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,,true,,,true,,,ADAPT Hike Max Insoles,"Buy the ADAPT Hike Max Insoles and more pain relieving, fatigue fighting footwear inserts from Superfeet. Shop Superfeet today!",Medium/High,Roomy to moderate fitting OUTDOOR footwear with removable insoles,Max,A.C.T. (Adaptive Comfort Technology),,true,true,ADAPT Hike Max,,Unisex,,,Hiking,Soft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAPT Hike Max: Hiking Insoles to Fight Foot Fatigue | Superfeet,Shop ADAPT Hike Max Insoles: Fight Foot Fatigue. The patented technology in ADAPT Hike MAX insoles creates the perfect fit for any hiking boot - find the flexible support you need to leave foot fatigue behind.,0,0,,
8047971303606,adapt-hike-max,MERGE,ADAPT Hike Max,,Superfeet,Insole,"ALL INSOLES, HIKING, INSOLES, MEN'S, SHOP, SHOP INSOLES, UNISEX, WOMEN'S",REPLACE,2024-08-15 20:02:19 -0400,2025-09-18 17:35:18 -0400,Archived,false,,web,,false,https://www.superfeet.co.uk/products/adapt-hike-max,0,8,,hb-3-9-4,Insoles & Inserts,Health & Beauty > Personal Care > Foot Care > Insoles & Inserts,frontpage,"unisex, mens, womens, all-insoles, hiking, all",IMAGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_hike-max_online_merch_assets-02_graphic_1.webp?v=1723766544,MERGE,2,700,500,,45488132194486,43402011214006,MERGE,Size,UK 4 - 5.5 (C),,,,,2,FL336006,086301823531,,0.29,lb,33.33,,true,,shopify,deny,manual,true,General Profile,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047971303606,adapt-hike-max,MERGE,ADAPT Hike Max,,Superfeet,Insole,"ALL INSOLES, HIKING, INSOLES, MEN'S, SHOP, SHOP INSOLES, UNISEX, WOMEN'S",REPLACE,2024-08-15 20:02:19 -0400,2025-09-18 17:35:18 -0400,Archived,false,,web,,false,https://www.superfeet.co.uk/products/adapt-hike-max,0,9,,hb-3-9-4,Insoles & Inserts,Health & Beauty > Personal Care > Foot Care > Insoles & Inserts,frontpage,"unisex, mens, womens, all-insoles, hiking, all",IMAGE,https://cdn.shopify.com/s/files/1/0656/6779/3078/files/adapt_hike-max_online_merch_assets-03_graphic_1.webp?v=1723766544,MERGE,3,700,500,,45488132227254,43402011246774,MERGE,Size,UK 6 - 7.5 (D),,,,,3,FL336008,086301823517,,0.31,lb,33.33,,true,,shopify,deny,manual,true,General Profile,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047971303606,adapt-hike-max,MERGE,ADAPT Hike Max,,Superfeet,Insole,"ALL INSOLES, HIKING, INSOLES, MEN'S, SHOP, SHOP INSOLES, UNISEX, WOMEN'S",REPLACE,2024-08-15 20:02:19 -0400,2025-09-18 17:35:18 -0400,Archived,false,,web,,false,https://www.superfeet.co.uk/products/adapt-hike-max,0,10,,hb-3-9-4,Insoles & Inserts,Health & Beauty > Personal Care > Foot Care > Insoles & Inserts,frontpage,"unisex, mens, womens, all-insoles, hiking, all",EXTERNAL_VIDEO,https://player.vimeo.com/video/699469427,MERGE,4,,,Superfeet ADAPT Hike Max Insoles,45488132260022,43402011279542,MERGE,Size,UK 8 - 9.5 (E),,,,,4,FL336010,086301823524,,0.33,lb,33.33,,true,,shopify,deny,manual,true,General Profile,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
