ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: cql.collection_tagline_link [link],Metafield: cql.collection_tagline_text [single_line_text_field],Metafield: custom.feature_diagram [metaobject_reference],Metafield: custom.ugc_gallery [metaobject_reference],Metafield: custom.faq_group [metaobject_reference],Metafield: cql.seo_collection_description [multi_line_text_field],Metafield: cql.seo_collection_heading [single_line_text_field],Metafield: seo.hidden [number_integer]
335745286326,unisex,MERGE,Unisex Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 14:48:11 -0400,web,,,,,1,true,any condition,Tag,Equals,UNISEX,"Unisex Insoles
","Check out the full selection of Unisex Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,,,,,,
335745286326,unisex,MERGE,Unisex Insoles,,Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 14:48:11 -0400,web,,,,,2,,,Tag,Equals,ACTIVE,,,,,,,,,,
335745417398,kids,MERGE,Kids Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 14:52:24 -0400,web,,,,,3,true,all conditions,Tag,Equals,KIDS,"Kids Insoles
","Check out the full selection of Kids Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,,,,,,
335745482934,womens,MERGE,Women's Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Best Selling,,2025-11-11 07:18:32 -0500,true,2024-09-06 14:53:10 -0400,web,,,,,4,true,any condition,Tag,Equals,WOMEN'S,"Women's Insoles
","Check out the full selection of Women's Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,,,,,,
335745482934,womens,MERGE,Women's Insoles,,Best Selling,,2025-11-11 07:18:32 -0500,true,2024-09-06 14:53:10 -0400,web,,,,,5,,,Tag,Equals,ACTIVE,,,,,,,,,,
335745450166,mens,MERGE,Men's Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 14:52:49 -0400,web,,,,,6,true,any condition,Tag,Equals,MEN'S,"Men's Insoles
","Check out the full selection of Men's Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,,,,,,
335745450166,mens,MERGE,Men's Insoles,,Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 14:52:49 -0400,web,,,,,7,,,Tag,Equals,ACTIVE,,,,,,,,,,
335745614006,personalized,MERGE,Personalized Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Alphabet,,2024-10-18 16:01:25 -0400,true,2024-09-06 14:54:17 -0400,web,,,,,8,true,all conditions,Tag,Equals,PERSONALIZED,"Personalized Insoles
","Check out the full selection of Personalized Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,,,,,,
335745581238,all-insoles,MERGE,All Insoles,,Manual,,2025-11-11 07:18:32 -0500,true,2024-09-06 14:53:50 -0400,web,,,,,9,true,all conditions,Tag,Equals,ALL INSOLES,Shop Superfeet Insoles & Orthotic Shoe Inserts,"Check out the full selection of All Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,,,,,,
335745515702,best-sellers,MERGE,Best Sellers,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Manual,,2025-11-11 07:18:32 -0500,true,2024-09-06 14:53:25 -0400,web,,,,,10,true,all conditions,Tag,Equals,BEST SELLERS,"Best Sellers
","Check out the full selection of Best Selling Insoles & Supports
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,,,,,,
